id,label,Elevation,Aspect
1,R1,2880,228
2,R2,3221,81
3,R3,2598,6
4,R4,2267,15
5,R5,3085,49
6,R6,3124,50
7,R7,2962,122
8,R8,2551,143
9,R9,3014,210
10,R10,2859,325
11,R11,2944,97
12,R12,3167,54
13,R13,2693,41
14,R14,2593,139
15,R15,2935,328
16,R16,2973,286
17,R17,2983,131
18,R18,3238,41
19,R19,2119,332
20,R20,3004,297
21,R21,3037,84
22,R22,3301,215
23,R23,2931,107
24,R24,2744,43
25,R25,3030,115
26,R26,2910,247
27,R27,2653,334
28,R28,2915,349
29,R29,3393,314
30,R30,2280,13
31,R31,3044,292
32,R32,3188,10
33,R33,3111,280
34,R34,3182,331
35,R35,3228,21
36,R36,2971,315
37,R37,2937,104
38,R38,2475,94
39,R39,2947,38
40,R40,3203,285
41,R41,2649,119
42,R42,2640,359
43,R43,3200,165
44,R44,3323,108
45,R45,1932,122
46,R46,2349,329
47,R47,3008,90
48,R48,3298,8
49,R49,2820,308
50,R50,2968,18
51,R51,2690,82
52,R52,2994,341
53,R53,2712,52
54,R54,3089,66
55,R55,2825,20
56,R56,2602,141
57,R57,3159,274
58,R58,2717,12
59,R59,2893,54
60,R60,2769,10
61,R61,2290,284
62,R62,3233,108
63,R63,2998,7
64,R64,3200,81
65,R65,2899,5
66,R66,3040,325
67,R67,3018,260
68,R68,2923,186
69,R69,3263,14
70,R70,2935,82
71,R71,3121,212
72,R72,3259,259
73,R73,3019,323
74,R74,2785,337
75,R75,2700,172
76,R76,2348,103
77,R77,3141,63
78,R78,2829,36
79,R79,2856,263
80,R80,2961,30
81,R81,2429,22
82,R82,2898,317
83,R83,3280,36
84,R84,3204,101
85,R85,3014,35
86,R86,2870,60
87,R87,3173,15
88,R88,2805,280
89,R89,3043,351
90,R90,2898,90
91,R91,2953,69
92,R92,3082,31
93,R93,2158,319
94,R94,2539,48
95,R95,2706,82
96,R96,2932,137
97,R97,2961,206
98,R98,2933,18
99,R99,3171,147
100,R100,2753,124
101,R101,3172,3
102,R102,2879,45
103,R103,3219,275
104,R104,3229,72
105,R105,3154,91
106,R106,3197,181
107,R107,3289,212
108,R108,3130,26
109,R109,3070,288
110,R110,3208,29
111,R111,3163,107
112,R112,2900,70
113,R113,3297,113
114,R114,2570,213
115,R115,3217,54
116,R116,3241,352
117,R117,3317,179
118,R118,3082,37
119,R119,3067,0
120,R120,2949,35
121,R121,3366,37
122,R122,2517,202
123,R123,2915,313
124,R124,2976,332
125,R125,3147,233
126,R126,2978,45
127,R127,3120,27
128,R128,3185,294
129,R129,3211,135
130,R130,3287,129
131,R131,2828,35
132,R132,2918,330
133,R133,3370,90
134,R134,2768,225
135,R135,2546,352
136,R136,2876,89
137,R137,3011,60
138,R138,3240,314
139,R139,3211,15
140,R140,2611,51
141,R141,2469,352
142,R142,2715,30
143,R143,2798,309
144,R144,2951,210
145,R145,3229,284
146,R146,2858,307
147,R147,2870,100
148,R148,3215,207
149,R149,3235,272
150,R150,3092,32
151,R151,2753,114
152,R152,3167,270
153,R153,3316,63
154,R154,3043,333
155,R155,3168,278
156,R156,3264,309
157,R157,2321,40
158,R158,2686,329
159,R159,2430,344
160,R160,3038,18
161,R161,2894,105
162,R162,2321,333
163,R163,3068,259
164,R164,2575,44
165,R165,2932,355
166,R166,2597,18
167,R167,2739,131
168,R168,2718,63
169,R169,2945,328
170,R170,3006,28
171,R171,3139,176
172,R172,2853,164
173,R173,3162,80
174,R174,2827,21
175,R175,3119,307
176,R176,3247,307
177,R177,2816,34
178,R178,3232,10
179,R179,2929,69
180,R180,3255,7
181,R181,2719,60
182,R182,2852,135
183,R183,3169,104
184,R184,2998,259
185,R185,3165,81
186,R186,2907,70
187,R187,3092,50
188,R188,2883,39
189,R189,2918,12
190,R190,2947,342
191,R191,2939,283
192,R192,3168,335
193,R193,3278,185
194,R194,3184,305
195,R195,3400,24
196,R196,3191,74
197,R197,3167,229
198,R198,2818,353
199,R199,2844,155
200,R200,2071,126
201,R201,2877,162
202,R202,3384,264
203,R203,2703,78
204,R204,2881,3
205,R205,3392,256
206,R206,2213,40
207,R207,3446,161
208,R208,2744,7
209,R209,2919,42
210,R210,2307,337
211,R211,2571,164
212,R212,2955,218
213,R213,3237,45
214,R214,3130,69
215,R215,2742,349
216,R216,2953,234
217,R217,2611,308
218,R218,3278,296
219,R219,3149,44
220,R220,2928,135
221,R221,3240,72
222,R222,2894,50
223,R223,2762,349
224,R224,2498,300
225,R225,3014,346
226,R226,3049,118
227,R227,3113,134
228,R228,2703,322
229,R229,2535,342
230,R230,2963,155
231,R231,3435,195
232,R232,3114,316
233,R233,3248,163
234,R234,3409,276
235,R235,3007,290
236,R236,3056,111
237,R237,2543,52
238,R238,2967,20
239,R239,2960,92
240,R240,3179,351
241,R241,3093,17
242,R242,3418,99
243,R243,2990,304
244,R244,3047,90
245,R245,2935,52
246,R246,3160,31
247,R247,2615,73
248,R248,3355,238
249,R249,2793,40
250,R250,3371,345
251,R251,3048,298
252,R252,2712,302
253,R253,3027,205
254,R254,3402,118
255,R255,2728,252
256,R256,2852,353
257,R257,2822,135
258,R258,3108,65
259,R259,2917,46
260,R260,2534,33
261,R261,2906,289
262,R262,3010,223
263,R263,2978,104
264,R264,3049,19
265,R265,2277,309
266,R266,3136,9
267,R267,3393,32
268,R268,2600,105
269,R269,2941,336
270,R270,2863,83
271,R271,2344,339
272,R272,3117,315
273,R273,3219,48
274,R274,2829,289
275,R275,3236,4
276,R276,2939,104
277,R277,2513,145
278,R278,3282,134
279,R279,2998,0
280,R280,2546,60
281,R281,3196,40
282,R282,3020,340
283,R283,2770,318
284,R284,2608,31
285,R285,2964,116
286,R286,3126,85
287,R287,2849,28
288,R288,3182,128
289,R289,2770,285
290,R290,2526,57
291,R291,2246,323
292,R292,3160,263
293,R293,2984,144
294,R294,3175,338
295,R295,3051,45
296,R296,2748,56
297,R297,3576,53
298,R298,3064,317
299,R299,3039,230
300,R300,2742,85
301,R301,3352,186
302,R302,3240,98
303,R303,2841,87
304,R304,2890,37
305,R305,2865,79
306,R306,3289,4
307,R307,2909,81
308,R308,2825,357
309,R309,2873,350
310,R310,3067,143
311,R311,2846,57
312,R312,2742,81
313,R313,3139,223
314,R314,2844,90
315,R315,2646,58
316,R316,3165,121
317,R317,2851,41
318,R318,2546,206
319,R319,2339,275
320,R320,2916,357
321,R321,2527,33
322,R322,3034,45
323,R323,3041,178
324,R324,2665,359
325,R325,2899,157
326,R326,3460,18
327,R327,2699,4
328,R328,3004,151
329,R329,2984,130
330,R330,2854,135
331,R331,3198,53
332,R332,2509,21
333,R333,2347,63
334,R334,3098,354
335,R335,3365,331
336,R336,3118,242
337,R337,2965,98
338,R338,3291,215
339,R339,3087,77
340,R340,2881,11
341,R341,2817,12
342,R342,2966,288
343,R343,2978,140
344,R344,2978,4
345,R345,2871,208
346,R346,2868,274
347,R347,2644,82
348,R348,2626,222
349,R349,2989,82
350,R350,2636,19
351,R351,3065,109
352,R352,2991,248
353,R353,3435,339
354,R354,3162,8
355,R355,3086,115
356,R356,3395,353
357,R357,2919,110
358,R358,2819,332
359,R359,2419,347
360,R360,3301,173
361,R361,3059,185
362,R362,2966,44
363,R363,2439,342
364,R364,2173,339
365,R365,2936,90
366,R366,2862,34
367,R367,3122,298
368,R368,3011,81
369,R369,2888,65
370,R370,2964,20
371,R371,2755,186
372,R372,2284,297
373,R373,3211,141
374,R374,3204,249
375,R375,3104,324
376,R376,2896,1
377,R377,2658,128
378,R378,2664,130
379,R379,2720,42
380,R380,3377,213
381,R381,3330,175
382,R382,2858,306
383,R383,3057,348
384,R384,3001,202
385,R385,2906,112
386,R386,2996,267
387,R387,3268,24
388,R388,2407,132
389,R389,2958,81
390,R390,2883,36
391,R391,3198,118
392,R392,2741,39
393,R393,3170,40
394,R394,3132,141
395,R395,2861,78
396,R396,3019,317
397,R397,2309,343
398,R398,3045,211
399,R399,2912,323
400,R400,3095,2
401,R401,3106,30
402,R402,2945,296
403,R403,3122,145
404,R404,3063,144
405,R405,3397,179
406,R406,2868,22
407,R407,2544,182
408,R408,3036,178
409,R409,3138,76
410,R410,3143,157
411,R411,2335,10
412,R412,3219,315
413,R413,3162,74
414,R414,3237,0
415,R415,3021,6
416,R416,3298,353
417,R417,2439,75
418,R418,2695,39
419,R419,2802,67
420,R420,3140,31
421,R421,2934,64
422,R422,2795,64
423,R423,2593,279
424,R424,3087,225
425,R425,2888,51
426,R426,2777,124
427,R427,2602,98
428,R428,2952,8
429,R429,3366,186
430,R430,3100,293
431,R431,2890,51
432,R432,3244,31
433,R433,2983,286
434,R434,3262,164
435,R435,2733,18
436,R436,3337,17
437,R437,3143,76
438,R438,2642,187
439,R439,3185,178
440,R440,3186,129
441,R441,3220,39
442,R442,2975,159
443,R443,3100,189
444,R444,3037,57
445,R445,3105,212
446,R446,2651,124
447,R447,3087,86
448,R448,3254,123
449,R449,3177,328
450,R450,3008,122
451,R451,2974,123
452,R452,2949,343
453,R453,2946,354
454,R454,3420,195
455,R455,2934,274
456,R456,3049,208
457,R457,3228,334
458,R458,3386,199
459,R459,3204,98
460,R460,2584,325
461,R461,3225,279
462,R462,3137,313
463,R463,2344,217
464,R464,3618,98
465,R465,3265,124
466,R466,3137,141
467,R467,3061,70
468,R468,2134,79
469,R469,2746,55
470,R470,3132,129
471,R471,3045,94
472,R472,2766,40
473,R473,2939,333
474,R474,3067,62
475,R475,2068,122
476,R476,3053,350
477,R477,2772,89
478,R478,2541,26
479,R479,3263,323
480,R480,3073,315
481,R481,2932,357
482,R482,2996,256
483,R483,3102,314
484,R484,2961,63
485,R485,2952,125
486,R486,2850,49
487,R487,3038,324
488,R488,3001,12
489,R489,2687,212
490,R490,3079,324
491,R491,3244,350
492,R492,3414,325
493,R493,2724,111
494,R494,2712,85
495,R495,2858,97
496,R496,3181,167
497,R497,3115,17
498,R498,2536,45
499,R499,2809,82
500,R500,3228,300
501,R501,2931,9
502,R502,2957,78
503,R503,3095,28
504,R504,2830,353
505,R505,2174,92
506,R506,3304,34
507,R507,2094,44
508,R508,3070,127
509,R509,3180,207
510,R510,3287,75
511,R511,3248,325
512,R512,2287,30
513,R513,2528,347
514,R514,3176,76
515,R515,2386,30
516,R516,3142,5
517,R517,2488,97
518,R518,2899,67
519,R519,2725,151
520,R520,2833,351
521,R521,3067,0
522,R522,2613,328
523,R523,2909,331
524,R524,2927,102
525,R525,3221,323
526,R526,2968,11
527,R527,2685,339
528,R528,3018,143
529,R529,2947,194
530,R530,2644,145
531,R531,2662,337
532,R532,2844,213
533,R533,2965,339
534,R534,3247,45
535,R535,3458,6
536,R536,3060,308
537,R537,2608,101
538,R538,3229,3
539,R539,2948,45
540,R540,2859,13
541,R541,2927,279
542,R542,3377,203
543,R543,3051,51
544,R544,2908,183
545,R545,2965,330
546,R546,2990,87
547,R547,2413,33
548,R548,2758,58
549,R549,3207,322
550,R550,2938,83
551,R551,3052,148
552,R552,2886,139
553,R553,3142,144
554,R554,3040,60
555,R555,3265,183
556,R556,2864,57
557,R557,2754,335
558,R558,2879,52
559,R559,3307,200
560,R560,2577,35
561,R561,2994,87
562,R562,2181,31
563,R563,3087,319
564,R564,3092,0
565,R565,2704,64
566,R566,2618,318
567,R567,3239,238
568,R568,3518,293
569,R569,2931,49
570,R570,2965,96
571,R571,2148,153
572,R572,2716,340
573,R573,2929,215
574,R574,3152,278
575,R575,2911,45
576,R576,2904,8
577,R577,3188,33
578,R578,2898,105
579,R579,3278,195
580,R580,3098,172
581,R581,3054,260
582,R582,2988,302
583,R583,3188,333
584,R584,3020,350
585,R585,3290,68
586,R586,2884,120
587,R587,2954,72
588,R588,2957,51
589,R589,2983,288
590,R590,2888,316
591,R591,2904,25
592,R592,3267,75
593,R593,2577,20
594,R594,2628,16
595,R595,2708,43
596,R596,2929,47
597,R597,3041,175
598,R598,2575,117
599,R599,3208,54
600,R600,2826,96
601,R601,3020,24
602,R602,3317,355
603,R603,3017,143
604,R604,2877,120
605,R605,3042,76
606,R606,2766,174
607,R607,2945,51
608,R608,3176,9
609,R609,3043,206
610,R610,2877,75
611,R611,3236,54
612,R612,3061,112
613,R613,3177,311
614,R614,3397,239
615,R615,2774,10
616,R616,2871,341
617,R617,3205,335
618,R618,3034,53
619,R619,2735,350
620,R620,2964,355
621,R621,3245,23
622,R622,2758,18
623,R623,2669,346
624,R624,3188,31
625,R625,2918,96
626,R626,3200,63
627,R627,2952,184
628,R628,2812,67
629,R629,2459,91
630,R630,3176,302
631,R631,2972,75
632,R632,3093,75
633,R633,2849,118
634,R634,3041,313
635,R635,2855,34
636,R636,2797,105
637,R637,2932,309
638,R638,2550,136
639,R639,2728,9
640,R640,3214,76
641,R641,2501,26
642,R642,3317,135
643,R643,2344,25
644,R644,2968,41
645,R645,3254,152
646,R646,2862,80
647,R647,2913,58
648,R648,3044,232
649,R649,3296,207
650,R650,2381,11
651,R651,2397,315
652,R652,2924,45
653,R653,2968,158
654,R654,2120,104
655,R655,2952,88
656,R656,3304,326
657,R657,2913,65
658,R658,3049,236
659,R659,2315,102
660,R660,2761,198
661,R661,3004,229
662,R662,3538,122
663,R663,3070,25
664,R664,2993,154
665,R665,2919,33
666,R666,2730,225
667,R667,3086,131
668,R668,2676,89
669,R669,2501,90
670,R670,2993,63
671,R671,3127,75
672,R672,2649,73
673,R673,3000,73
674,R674,3090,69
675,R675,2625,14
676,R676,3052,36
677,R677,2481,274
678,R678,3157,193
679,R679,3132,162
680,R680,3123,221
681,R681,2450,306
682,R682,3077,313
683,R683,3339,199
684,R684,3201,331
685,R685,3116,27
686,R686,2701,357
687,R687,3026,329
688,R688,2969,14
689,R689,3129,65
690,R690,2948,72
691,R691,3136,34
692,R692,3079,56
693,R693,2997,20
694,R694,3249,122
695,R695,2945,136
696,R696,3281,97
697,R697,2508,316
698,R698,3142,206
699,R699,2988,20
700,R700,3288,329
701,R701,2832,93
702,R702,3075,342
703,R703,2920,178
704,R704,2926,104
705,R705,2810,45
706,R706,3023,199
707,R707,2982,225
708,R708,3380,234
709,R709,2680,52
710,R710,2995,338
711,R711,3026,304
712,R712,2867,180
713,R713,2646,302
714,R714,2931,214
715,R715,2247,290
716,R716,2415,222
717,R717,2886,131
718,R718,2957,154
719,R719,3034,236
720,R720,2950,353
721,R721,3026,55
722,R722,2731,100
723,R723,2233,153
724,R724,2732,86
725,R725,3203,58
726,R726,3067,61
727,R727,3107,310
728,R728,2647,45
729,R729,2827,147
730,R730,3024,157
731,R731,3228,66
732,R732,3437,323
733,R733,3028,53
734,R734,3152,144
735,R735,2890,72
736,R736,3631,358
737,R737,3231,54
738,R738,2279,80
739,R739,2139,136
740,R740,3149,79
741,R741,2927,318
742,R742,2827,313
743,R743,3292,52
744,R744,2520,277
745,R745,3242,193
746,R746,3094,79
747,R747,2988,37
748,R748,2911,355
749,R749,3334,0
750,R750,2564,272
751,R751,2958,205
752,R752,3207,62
753,R753,2613,66
754,R754,2824,267
755,R755,3355,103
756,R756,2763,107
757,R757,2712,2
758,R758,2544,88
759,R759,3223,158
760,R760,3027,82
761,R761,3294,265
762,R762,3192,22
763,R763,2041,327
764,R764,3225,351
765,R765,3160,352
766,R766,3034,20
767,R767,2972,322
768,R768,2945,23
769,R769,2952,103
770,R770,2778,229
771,R771,2911,359
772,R772,3034,191
773,R773,2965,8
774,R774,2811,70
775,R775,2883,146
776,R776,2955,155
777,R777,2838,45
778,R778,3241,192
779,R779,2712,169
780,R780,3030,135
781,R781,2361,129
782,R782,2948,96
783,R783,2718,45
784,R784,2925,110
785,R785,2724,338
786,R786,2966,32
787,R787,2872,146
788,R788,2879,329
789,R789,2919,282
790,R790,3104,302
791,R791,2900,269
792,R792,3017,192
793,R793,2891,61
794,R794,2641,111
795,R795,3177,348
796,R796,3115,243
797,R797,2933,217
798,R798,3202,272
799,R799,3358,301
800,R800,3021,315
801,R801,2777,89
802,R802,2696,329
803,R803,3247,352
804,R804,3102,40
805,R805,2872,117
806,R806,3332,180
807,R807,2434,136
808,R808,2845,238
809,R809,2808,242
810,R810,2909,80
811,R811,3386,263
812,R812,2445,89
813,R813,3018,100
814,R814,2782,135
815,R815,3094,107
816,R816,2850,92
817,R817,3187,289
818,R818,2782,36
819,R819,3009,331
820,R820,2795,139
821,R821,3008,33
822,R822,3003,4
823,R823,3024,128
824,R824,2657,100
825,R825,2988,64
826,R826,2712,72
827,R827,2942,207
828,R828,2866,114
829,R829,3024,322
830,R830,2226,352
831,R831,2937,149
832,R832,2765,89
833,R833,2995,100
834,R834,2926,9
835,R835,3082,139
836,R836,3410,160
837,R837,3147,334
838,R838,3154,279
839,R839,3091,73
840,R840,3283,87
841,R841,2695,323
842,R842,2864,15
843,R843,2254,312
844,R844,3032,345
845,R845,2982,152
846,R846,2945,251
847,R847,3182,13
848,R848,3250,0
849,R849,2833,251
850,R850,3264,76
851,R851,3261,50
852,R852,2978,248
853,R853,2625,27
854,R854,2668,119
855,R855,2858,70
856,R856,3228,74
857,R857,2441,6
858,R858,3143,151
859,R859,3333,96
860,R860,2880,74
861,R861,2781,36
862,R862,2940,91
863,R863,3074,63
864,R864,3033,257
865,R865,3103,102
866,R866,2833,101
867,R867,3035,16
868,R868,2406,111
869,R869,3170,92
870,R870,2913,82
871,R871,3355,73
872,R872,3166,77
873,R873,3083,91
874,R874,3162,197
875,R875,2846,3
876,R876,2930,9
877,R877,3330,290
878,R878,2942,112
879,R879,3188,42
880,R880,3186,37
881,R881,2931,21
882,R882,3191,338
883,R883,3137,266
884,R884,2903,99
885,R885,2954,88
886,R886,1896,20
887,R887,2136,303
888,R888,2728,83
889,R889,2975,346
890,R890,3189,101
891,R891,2717,328
892,R892,3077,131
893,R893,2212,342
894,R894,3172,51
895,R895,3252,248
896,R896,3174,70
897,R897,3049,85
898,R898,3108,108
899,R899,2738,39
900,R900,3115,335
901,R901,3073,49
902,R902,3087,120
903,R903,3389,237
904,R904,2756,45
905,R905,3227,146
906,R906,3277,1
907,R907,3390,285
908,R908,2962,19
909,R909,2392,24
910,R910,2864,75
911,R911,2936,78
912,R912,2957,315
913,R913,2906,254
914,R914,3228,78
915,R915,2586,125
916,R916,3175,113
917,R917,2992,356
918,R918,2685,133
919,R919,2901,47
920,R920,3530,265
921,R921,2324,61
922,R922,3163,14
923,R923,2958,135
924,R924,3167,114
925,R925,2493,8
926,R926,3044,62
927,R927,2887,116
928,R928,2876,85
929,R929,3170,222
930,R930,2962,49
931,R931,2780,301
932,R932,3160,27
933,R933,3253,296
934,R934,2945,351
935,R935,3248,27
936,R936,2697,65
937,R937,2893,118
938,R938,3101,322
939,R939,2699,203
940,R940,3200,36
941,R941,3069,338
942,R942,2225,334
943,R943,3096,169
944,R944,2783,10
945,R945,2584,78
946,R946,2807,218
947,R947,3070,168
948,R948,2675,31
949,R949,3100,293
950,R950,3226,336
951,R951,2843,39
952,R952,2908,143
953,R953,2935,14
954,R954,3120,315
955,R955,2229,79
956,R956,3091,305
957,R957,3261,70
958,R958,3230,202
959,R959,3340,287
960,R960,3277,330
961,R961,3222,302
962,R962,3067,14
963,R963,3297,21
964,R964,2685,83
965,R965,3116,53
966,R966,2912,83
967,R967,2623,50
968,R968,3057,52
969,R969,2340,6
970,R970,3111,199
971,R971,2986,186
972,R972,2883,359
973,R973,3069,300
974,R974,2932,51
975,R975,2174,73
976,R976,3040,73
977,R977,2249,286
978,R978,3298,147
979,R979,3295,345
980,R980,2591,53
981,R981,3143,180
982,R982,3282,322
983,R983,2388,48
984,R984,3233,328
985,R985,2910,22
986,R986,2818,267
987,R987,3113,317
