id,label,Elevation,Aspect,Slope
1,R1,404,598,407
2,R2,343,659,661
3,R3,248,753,248
4,R4,822,180,182
5,R5,5,5,995
6,R6,681,323,317
7,R7,967,34,34
8,R8,694,697,307
9,R9,12,987,14
10,R10,988,17,987
11,R11,265,731,270
12,R12,284,717,719
13,R13,278,280,722
14,R14,394,396,605
15,R15,332,666,667
16,R16,855,148,855
17,R17,346,651,654
18,R18,431,429,569
19,R19,577,418,586
20,R20,176,821,820
21,R21,468,534,469
22,R22,870,878,125
23,R23,267,263,734
24,R24,130,868,866
25,R25,838,165,839
26,R26,65,61,939
27,R27,493,502,494
28,R28,45,957,48
29,R29,464,534,464
30,R30,716,285,289
31,R31,80,916,919
32,R32,238,239,761
33,R33,150,150,845
34,R34,219,781,784
35,R35,30,973,23
36,R36,651,645,351
37,R37,706,294,295
38,R38,116,885,116
39,R39,309,690,313
40,R40,547,452,456
41,R41,743,253,252
42,R42,898,102,102
43,R43,743,260,742
44,R44,73,64,931
45,R45,723,278,278
46,R46,441,433,563
47,R47,293,708,288
48,R48,203,206,797
49,R49,73,931,68
50,R50,317,314,681
51,R51,130,865,131
52,R52,86,914,916
53,R53,490,507,508
54,R54,53,52,949
55,R55,814,183,190
56,R56,120,880,885
57,R57,349,655,349
58,R58,897,104,103
59,R59,179,826,176
60,R60,888,111,884
61,R61,994,990,5
62,R62,536,536,468
63,R63,395,602,393
64,R64,751,746,251
65,R65,821,174,824
66,R66,746,255,743
67,R67,572,567,430
68,R68,767,762,236
69,R69,504,491,506
70,R70,100,901,904
71,R71,485,516,486
72,R72,571,569,430
73,R73,88,914,89
74,R74,493,508,511
75,R75,410,587,415
76,R76,360,641,639
77,R77,965,36,40
78,R78,10,992,3
79,R79,849,150,852
80,R80,611,607,388
81,R81,55,942,941
82,R82,531,539,464
83,R83,344,660,659
84,R84,817,185,817
85,R85,838,162,834
86,R86,582,583,414
87,R87,693,312,309
88,R88,45,46,957
89,R89,327,326,670
90,R90,980,25,23
91,R91,727,278,268
92,R92,910,917,88
93,R93,490,508,494
94,R94,753,242,754
95,R95,671,332,325
96,R96,664,657,341
97,R97,120,878,127
98,R98,44,956,44
99,R99,397,598,599
100,R100,852,153,145
