id,label,Elevation,Aspect
1,R1,5609,4393
2,R2,6843,3160
3,R3,6069,3927
4,R4,2556,7443
5,R5,3312,6687
6,R6,4448,5550
7,R7,3933,6064
8,R8,2554,7448
9,R9,1732,8264
10,R10,4973,5029
11,R11,7380,2616
12,R12,6065,3931
13,R13,6738,3266
14,R14,819,9181
15,R15,7400,2598
16,R16,6468,3533
17,R17,410,9595
18,R18,1798,8197
19,R19,2933,7065
20,R20,6887,3108
21,R21,9886,110
22,R22,5346,4658
23,R23,6556,3442
24,R24,6461,3535
25,R25,7088,2917
26,R26,9088,907
27,R27,7264,2740
28,R28,7396,2609
29,R29,7398,2601
30,R30,4894,5108
31,R31,1071,8927
32,R32,8545,1450
33,R33,8829,1168
34,R34,2583,7414
35,R35,9844,151
36,R36,9733,270
37,R37,9950,52
38,R38,7639,2359
39,R39,5022,4978
40,R40,3277,6720
41,R41,2776,7223
42,R42,3621,6381
43,R43,7903,2096
44,R44,1854,8148
45,R45,3308,6693
46,R46,5548,4453
47,R47,6613,3391
48,R48,1431,8566
49,R49,8518,1477
50,R50,1145,8851
51,R51,6526,3472
52,R52,1552,8443
53,R53,4361,5639
54,R54,7834,2168
55,R55,86,9917
56,R56,5442,4557
57,R57,5895,4109
58,R58,1106,8899
59,R59,1720,8284
60,R60,1988,8012
61,R61,3108,6892
62,R62,1654,8348
63,R63,3705,6295
64,R64,5360,4644
65,R65,4798,5207
66,R66,3877,6127
67,R67,4774,5225
68,R68,1400,8602
69,R69,8551,1445
70,R70,5816,4179
71,R71,4338,5659
72,R72,9856,140
73,R73,7874,2121
74,R74,8828,1169
75,R75,9331,670
76,R76,1837,8168
77,R77,8165,1834
78,R78,7408,2591
79,R79,4086,5919
80,R80,9157,843
81,R81,9595,407
82,R82,3072,6930
83,R83,9473,524
84,R84,5405,4594
85,R85,7029,2970
86,R86,5071,4933
87,R87,5241,4760
88,R88,2769,7235
89,R89,3262,6741
90,R90,8312,1687
91,R91,1193,8810
92,R92,5233,4767
93,R93,1977,8027
94,R94,7721,2279
95,R95,8190,1815
96,R96,7341,2660
97,R97,6650,3345
98,R98,7682,2316
99,R99,4256,5746
100,R100,7195,2802
101,R101,3573,6427
102,R102,8149,1856
103,R103,6460,3544
104,R104,2030,7970
105,R105,5067,4934
106,R106,7548,2450
107,R107,6932,3069
108,R108,2156,7840
109,R109,5376,4628
110,R110,1822,8183
111,R111,4679,5325
112,R112,5299,4704
113,R113,3644,6357
114,R114,9086,914
115,R115,9298,698
116,R116,2278,7723
117,R117,533,9468
118,R118,5182,4818
119,R119,2512,7485
120,R120,4845,5155
121,R121,7526,2477
122,R122,3507,6496
123,R123,1201,8795
124,R124,3126,6875
125,R125,3666,6329
126,R126,525,9473
127,R127,462,9543
128,R128,5551,4448
129,R129,18,9986
130,R130,526,9478
131,R131,7893,2112
132,R132,1425,8577
133,R133,6573,3425
134,R134,7474,2524
135,R135,4382,5616
136,R136,742,9253
137,R137,9103,898
138,R138,6656,3344
139,R139,840,9155
140,R140,6933,3066
141,R141,4400,5595
142,R142,7179,2823
143,R143,8539,1463
144,R144,9734,270
145,R145,8661,1343
146,R146,431,9567
147,R147,6795,3201
148,R148,9415,583
149,R149,48,9953
150,R150,47,9954
151,R151,7668,2327
152,R152,4289,5710
153,R153,5622,4374
154,R154,1968,8027
155,R155,1465,8540
156,R156,2426,7570
157,R157,7361,2644
158,R158,2161,7838
159,R159,7222,2781
160,R160,6687,3317
161,R161,6461,3540
162,R162,4503,5497
163,R163,9084,913
164,R164,3888,6111
165,R165,6582,3413
166,R166,9490,511
167,R167,9418,586
168,R168,5081,4924
169,R169,5056,4943
170,R170,3288,6711
171,R171,5935,4061
172,R172,6646,3355
173,R173,5227,4777
174,R174,7722,2276
175,R175,9694,308
176,R176,8680,1318
177,R177,8557,1447
178,R178,8409,1592
179,R179,8693,1305
180,R180,8671,1326
181,R181,6127,3868
182,R182,2054,7943
183,R183,3608,6392
184,R184,4774,5229
185,R185,6121,3877
186,R186,4910,5091
187,R187,6109,3891
188,R188,7576,2426
189,R189,3021,6974
190,R190,3710,6294
191,R191,722,9278
192,R192,4449,5549
193,R193,4481,5523
194,R194,2358,7638
195,R195,9720,282
196,R196,4357,5639
197,R197,3379,6625
198,R198,7029,2975
199,R199,2271,7729
200,R200,9572,432
201,R201,8291,1711
202,R202,30,9966
203,R203,6321,3684
204,R204,4212,5793
205,R205,5499,4499
206,R206,8474,1529
207,R207,9466,530
208,R208,1574,8427
209,R209,6698,3298
210,R210,8100,1896
211,R211,2036,7960
212,R212,6228,3777
213,R213,1963,8039
214,R214,1773,8225
215,R215,9843,159
216,R216,5524,4471
217,R217,400,9600
218,R218,9810,193
219,R219,3839,6160
220,R220,3718,6282
221,R221,7979,2024
222,R222,1600,8405
223,R223,3609,6394
224,R224,1447,8554
225,R225,7116,2887
226,R226,6769,3228
227,R227,6332,3665
228,R228,8698,1302
229,R229,9428,576
230,R230,8464,1537
231,R231,5298,4703
232,R232,7371,2625
233,R233,4305,5692
234,R234,9379,617
235,R235,4230,5772
236,R236,1564,8436
237,R237,3967,6035
238,R238,7915,2090
239,R239,4739,5257
240,R240,2354,7651
241,R241,3678,6317
242,R242,6660,3341
243,R243,4172,5827
244,R244,2589,7415
245,R245,2321,7679
246,R246,7300,2701
247,R247,1827,8178
248,R248,4046,5953
249,R249,6525,3470
250,R250,7738,2263
251,R251,9811,185
252,R252,2828,7177
253,R253,7242,2761
254,R254,9966,35
255,R255,5311,4686
256,R256,4244,5751
257,R257,5769,4233
