id,label,Elevation,Aspect
1,R1,3263,174
2,R2,3410,202
3,R3,2690,51
4,R4,2973,52
5,R5,2930,114
6,R6,3072,9
7,R7,3374,45
8,R8,3200,319
9,R9,3169,294
10,R10,3002,101
11,R11,2308,30
12,R12,2928,103
13,R13,3184,246
14,R14,2900,26
15,R15,3165,165
16,R16,2555,107
17,R17,3007,283
18,R18,3068,116
19,R19,3188,0
20,R20,2716,82
21,R21,3219,22
22,R22,2926,242
23,R23,2665,21
24,R24,2766,355
25,R25,2824,37
26,R26,2550,68
27,R27,3059,337
28,R28,3221,342
29,R29,2968,90
30,R30,3093,141
31,R31,3173,216
32,R32,2596,46
33,R33,2613,94
34,R34,3267,59
35,R35,2883,30
36,R36,2952,62
37,R37,3008,74
38,R38,2703,127
39,R39,3209,279
40,R40,2909,282
41,R41,2607,86
42,R42,3184,155
43,R43,3214,45
44,R44,2980,51
45,R45,2832,32
46,R46,3373,118
47,R47,3216,155
48,R48,2785,70
49,R49,2622,130
50,R50,2903,117
51,R51,2114,126
52,R52,2752,99
53,R53,2913,42
54,R54,3168,34
55,R55,2723,294
56,R56,3188,225
57,R57,3197,4
58,R58,3056,2
59,R59,2806,16
60,R60,2129,2
61,R61,2259,334
62,R62,2775,108
63,R63,3270,331
64,R64,2982,278
65,R65,2822,108
66,R66,3202,211
67,R67,2752,338
68,R68,3050,253
69,R69,2985,332
70,R70,2769,6
71,R71,3244,42
72,R72,2559,246
73,R73,2922,6
74,R74,3057,86
75,R75,3150,317
76,R76,2371,99
77,R77,2766,62
78,R78,3201,95
79,R79,2608,340
80,R80,2781,58
81,R81,2408,64
82,R82,2584,16
83,R83,2885,23
84,R84,3065,36
85,R85,2591,32
86,R86,2538,16
87,R87,3031,342
88,R88,2753,341
89,R89,2718,202
90,R90,3029,139
91,R91,2983,70
92,R92,3331,192
93,R93,3037,31
94,R94,2870,81
95,R95,3116,133
96,R96,2874,247
97,R97,3368,59
98,R98,2934,59
99,R99,3246,230
100,R100,3007,349
101,R101,3185,164
102,R102,2678,14
103,R103,3174,58
104,R104,3159,21
105,R105,3193,96
106,R106,3193,43
107,R107,2652,219
108,R108,2530,51
109,R109,3169,67
110,R110,3003,65
111,R111,3114,89
112,R112,3020,0
113,R113,3067,219
114,R114,3054,36
115,R115,3244,351
116,R116,2981,78
117,R117,3120,42
118,R118,2985,202
119,R119,3025,13
120,R120,3078,74
121,R121,2735,84
122,R122,3082,147
123,R123,2025,311
124,R124,2616,227
125,R125,2767,313
126,R126,3130,349
127,R127,3016,351
128,R128,2712,69
129,R129,3301,46
130,R130,2912,115
131,R131,2622,120
132,R132,3369,122
133,R133,2821,152
134,R134,3266,356
135,R135,3197,53
136,R136,3051,95
137,R137,2516,226
138,R138,2935,119
139,R139,2791,339
140,R140,2864,224
141,R141,3269,53
142,R142,2946,122
143,R143,2950,325
144,R144,2551,0
145,R145,2944,345
146,R146,3195,281
147,R147,3064,306
148,R148,2468,45
149,R149,3138,14
150,R150,2526,124
151,R151,3107,128
152,R152,2821,113
153,R153,3297,97
154,R154,2942,283
155,R155,2815,24
156,R156,2951,103
157,R157,2991,20
158,R158,2949,75
159,R159,2926,55
160,R160,2933,46
161,R161,2873,0
162,R162,3357,158
163,R163,2981,45
164,R164,3154,350
165,R165,3078,113
166,R166,3182,111
167,R167,2955,62
168,R168,3144,292
169,R169,2585,106
170,R170,3020,112
171,R171,2961,111
172,R172,3095,159
173,R173,3322,167
174,R174,2727,137
175,R175,2522,130
176,R176,2805,63
177,R177,2730,32
178,R178,3086,29
179,R179,2873,314
180,R180,2902,0
181,R181,3296,119
182,R182,3053,248
183,R183,3176,70
184,R184,3017,336
185,R185,2934,15
186,R186,3159,213
187,R187,3240,344
188,R188,2991,122
189,R189,3060,207
190,R190,2921,138
191,R191,3199,259
192,R192,2772,82
193,R193,2964,43
194,R194,3144,241
195,R195,3050,52
196,R196,2798,173
197,R197,2949,109
198,R198,3254,332
199,R199,2744,281
200,R200,2425,198
201,R201,3167,122
202,R202,2932,305
203,R203,3354,43
204,R204,2897,232
205,R205,3004,193
206,R206,2430,6
207,R207,3082,128
208,R208,3285,141
209,R209,2972,71
210,R210,3064,9
211,R211,3082,92
212,R212,3191,82
213,R213,2976,301
214,R214,3127,53
215,R215,2994,295
216,R216,3088,322
217,R217,2812,66
218,R218,3129,96
219,R219,3254,259
220,R220,3174,133
221,R221,3221,243
222,R222,3155,57
223,R223,3031,74
224,R224,2708,52
225,R225,3028,192
226,R226,2608,346
227,R227,1998,4
228,R228,3162,265
229,R229,2702,45
230,R230,3205,70
231,R231,2643,35
232,R232,3325,269
233,R233,3422,3
234,R234,2810,81
235,R235,2487,335
236,R236,2844,189
237,R237,2384,116
238,R238,2937,60
239,R239,2986,208
240,R240,2908,108
241,R241,3257,16
242,R242,2403,312
243,R243,3132,10
244,R244,3160,201
245,R245,3073,112
246,R246,3121,111
247,R247,3200,7
248,R248,2953,8
249,R249,2691,135
250,R250,2898,178
251,R251,3240,74
252,R252,3066,61
253,R253,3061,253
254,R254,2697,185
255,R255,3119,161
256,R256,2882,135
257,R257,2764,18
258,R258,3244,284
259,R259,2972,157
260,R260,3078,274
261,R261,3385,60
262,R262,3307,133
263,R263,2915,139
264,R264,3204,192
265,R265,3009,22
266,R266,2955,213
267,R267,3259,354
268,R268,2892,110
269,R269,2879,355
270,R270,3099,18
271,R271,3139,81
272,R272,2613,129
273,R273,3228,175
274,R274,3304,99
275,R275,2878,60
276,R276,2806,45
277,R277,3019,79
278,R278,3004,107
279,R279,2933,96
280,R280,3039,86
281,R281,3059,0
282,R282,3353,187
283,R283,3046,283
284,R284,2286,316
285,R285,3134,130
286,R286,3252,143
287,R287,3168,1
288,R288,2320,167
289,R289,3269,67
290,R290,2619,188
291,R291,2808,79
292,R292,1987,144
293,R293,2982,335
294,R294,2870,15
295,R295,2945,48
296,R296,3202,280
297,R297,2834,64
298,R298,2882,43
299,R299,3150,35
300,R300,3186,181
301,R301,3131,118
302,R302,2814,85
303,R303,3172,112
304,R304,3246,44
305,R305,2825,75
306,R306,2882,36
307,R307,3151,247
308,R308,3152,57
309,R309,2438,325
310,R310,2670,27
311,R311,3127,91
312,R312,2732,30
313,R313,3191,152
314,R314,2634,73
315,R315,2983,345
316,R316,3122,354
317,R317,2833,70
318,R318,2821,41
319,R319,3261,37
320,R320,2753,31
321,R321,1977,52
322,R322,2691,59
323,R323,2682,107
324,R324,2932,96
325,R325,2930,137
326,R326,2312,330
327,R327,2962,306
328,R328,3335,77
329,R329,3168,30
330,R330,3085,41
331,R331,3179,52
332,R332,3371,308
333,R333,3124,286
334,R334,3165,156
335,R335,2860,315
336,R336,2555,329
337,R337,2840,99
338,R338,2604,63
339,R339,3142,341
340,R340,3096,36
341,R341,3075,204
342,R342,3191,43
343,R343,3406,60
344,R344,3226,260
345,R345,2958,311
346,R346,2913,40
347,R347,2571,316
348,R348,2642,72
349,R349,2723,53
350,R350,3017,83
351,R351,3253,80
352,R352,3271,223
353,R353,3018,18
354,R354,3129,29
355,R355,3081,298
356,R356,2681,45
357,R357,3314,54
358,R358,2552,65
359,R359,3020,79
360,R360,3445,24
361,R361,2772,101
362,R362,3123,144
363,R363,3249,93
364,R364,3368,225
365,R365,2967,286
366,R366,2802,121
367,R367,3038,160
368,R368,3138,111
369,R369,2708,4
370,R370,3245,77
371,R371,1951,332
372,R372,2910,231
373,R373,2149,333
374,R374,3080,30
375,R375,3215,37
376,R376,2814,209
377,R377,3088,159
378,R378,3064,112
379,R379,2520,22
380,R380,2814,347
381,R381,3271,114
382,R382,2206,288
383,R383,2570,95
384,R384,3171,106
385,R385,2352,328
386,R386,3018,336
387,R387,3083,334
388,R388,3186,29
389,R389,3229,188
390,R390,2844,211
391,R391,2089,315
392,R392,2347,112
393,R393,3302,100
394,R394,3202,285
395,R395,3150,8
396,R396,2846,250
397,R397,3294,138
398,R398,3192,94
399,R399,3138,127
400,R400,3057,80
401,R401,2325,22
402,R402,2952,146
403,R403,3346,119
404,R404,3157,72
405,R405,2742,63
406,R406,3064,129
407,R407,2990,162
408,R408,2594,356
409,R409,3225,62
410,R410,2952,22
411,R411,3052,51
412,R412,3023,195
413,R413,2939,256
414,R414,2675,139
415,R415,2791,41
416,R416,2948,320
417,R417,2965,304
418,R418,2798,67
419,R419,2904,74
420,R420,3176,44
421,R421,3228,338
422,R422,2915,59
423,R423,3266,185
424,R424,2929,121
425,R425,2883,312
426,R426,2776,173
427,R427,3113,358
428,R428,3126,105
429,R429,2409,308
430,R430,2738,80
431,R431,3054,103
432,R432,3144,279
433,R433,3260,77
434,R434,2946,14
435,R435,3276,51
436,R436,2715,55
437,R437,2812,134
438,R438,2941,240
439,R439,3044,186
440,R440,3180,268
441,R441,2168,106
442,R442,3054,219
443,R443,3216,237
444,R444,3143,129
445,R445,2972,0
446,R446,3426,300
447,R447,2604,69
448,R448,3199,126
449,R449,2642,33
450,R450,2955,183
451,R451,2839,29
452,R452,2439,249
453,R453,3261,204
454,R454,2929,72
455,R455,2808,282
456,R456,2282,319
457,R457,3159,286
458,R458,2760,281
459,R459,2959,107
460,R460,2604,119
461,R461,2899,68
462,R462,3010,358
463,R463,2995,197
464,R464,3013,119
465,R465,2918,154
466,R466,3310,98
467,R467,3367,265
468,R468,3147,252
469,R469,3177,91
470,R470,2680,10
471,R471,2903,54
472,R472,2429,27
473,R473,2221,318
474,R474,2975,212
475,R475,2972,30
476,R476,2519,32
477,R477,2910,44
478,R478,2965,185
479,R479,3024,97
480,R480,3022,319
481,R481,2206,97
482,R482,3207,300
483,R483,3047,303
484,R484,2979,90
485,R485,3070,129
486,R486,3111,31
487,R487,2641,74
488,R488,2444,284
489,R489,3006,183
490,R490,2980,310
491,R491,2775,31
492,R492,3220,48
493,R493,3226,321
494,R494,2003,345
495,R495,3187,81
496,R496,3041,45
497,R497,2972,100
498,R498,3114,16
499,R499,2386,328
500,R500,3270,296
501,R501,2778,358
502,R502,3109,148
503,R503,3007,336
504,R504,2985,109
505,R505,3114,345
506,R506,2932,37
507,R507,3154,124
508,R508,3257,270
509,R509,2992,278
510,R510,3321,17
511,R511,2949,37
512,R512,3178,84
513,R513,2922,339
514,R514,2731,83
515,R515,3010,33
516,R516,3203,45
517,R517,2822,150
518,R518,2602,153
519,R519,2802,125
520,R520,2573,230
521,R521,3010,353
522,R522,3006,20
523,R523,3136,33
524,R524,3011,34
525,R525,3071,245
526,R526,3042,347
527,R527,3041,92
528,R528,3172,86
529,R529,3055,104
530,R530,2919,72
531,R531,2768,315
532,R532,2974,197
533,R533,3211,56
534,R534,2424,13
535,R535,3048,248
536,R536,3234,131
537,R537,3244,104
538,R538,2964,338
539,R539,2602,188
540,R540,2671,84
541,R541,2863,48
542,R542,3048,8
543,R543,2949,111
544,R544,3116,54
545,R545,2865,136
546,R546,3103,126
547,R547,2745,87
548,R548,3218,25
549,R549,2923,163
550,R550,2792,15
551,R551,2856,78
552,R552,2922,46
553,R553,3415,76
554,R554,3327,275
555,R555,2962,78
556,R556,3149,78
557,R557,3096,60
558,R558,2970,59
559,R559,2818,103
560,R560,2938,59
561,R561,3105,342
562,R562,3061,108
563,R563,3003,59
564,R564,3316,266
565,R565,2955,17
566,R566,2841,352
567,R567,3433,11
568,R568,2968,268
569,R569,2771,35
570,R570,3243,320
571,R571,3057,90
572,R572,3145,182
573,R573,3129,228
574,R574,2596,181
575,R575,3115,332
576,R576,3285,59
577,R577,3230,125
578,R578,3348,147
579,R579,3132,326
580,R580,3088,240
581,R581,3177,180
582,R582,3112,180
583,R583,3211,342
584,R584,2661,69
585,R585,3101,340
586,R586,2895,47
587,R587,3173,36
588,R588,2515,90
589,R589,2735,280
590,R590,2761,83
591,R591,2891,49
592,R592,2794,111
593,R593,3011,82
594,R594,3054,74
595,R595,3129,275
596,R596,3014,108
597,R597,2945,303
598,R598,2434,53
599,R599,3247,218
600,R600,2823,9
601,R601,2952,49
602,R602,1951,82
603,R603,2738,42
604,R604,3141,319
605,R605,2749,160
606,R606,3143,306
607,R607,3244,45
608,R608,2895,180
609,R609,2264,318
610,R610,2677,111
611,R611,2569,229
612,R612,2837,123
613,R613,3129,277
614,R614,3209,133
615,R615,3256,172
616,R616,2798,326
617,R617,2869,110
618,R618,2991,306
619,R619,2912,192
620,R620,2806,283
621,R621,3116,50
622,R622,3234,95
