id,label,Elevation,Aspect,Slope
1,R1,2554,342,16
2,R2,3089,29,6
3,R3,2771,175,5
4,R4,2963,36,17
5,R5,3023,60,12
6,R6,2822,23,17
7,R7,2863,346,18
8,R8,3166,54,20
9,R9,3252,52,25
10,R10,3206,99,17
11,R11,2867,347,17
12,R12,2133,321,28
13,R13,2933,177,20
14,R14,2673,74,12
15,R15,2644,279,27
16,R16,2877,97,23
17,R17,2360,11,16
18,R18,2997,337,13
19,R19,2579,125,12
20,R20,3220,359,10
21,R21,3199,214,28
22,R22,3270,213,12
23,R23,2063,303,32
24,R24,3163,222,13
25,R25,3004,126,6
26,R26,2628,104,6
27,R27,3169,34,14
28,R28,2919,36,6
29,R29,2645,358,20
30,R30,2892,358,9
31,R31,3034,9,10
32,R32,3137,143,11
33,R33,3146,139,4
34,R34,3281,185,13
35,R35,2722,26,10
36,R36,3333,15,13
37,R37,3230,40,7
38,R38,2350,221,35
39,R39,2776,336,10
40,R40,3355,130,12
41,R41,3381,100,7
42,R42,2907,312,18
43,R43,3070,153,26
44,R44,2975,80,11
45,R45,3123,318,14
46,R46,2651,69,11
47,R47,3238,261,10
48,R48,2834,110,14
49,R49,2972,45,10
50,R50,3133,139,5
51,R51,2818,28,31
52,R52,2597,85,5
53,R53,2264,124,27
54,R54,3185,324,10
55,R55,2279,0,10
56,R56,2902,255,15
57,R57,3130,51,3
58,R58,3146,157,12
59,R59,2983,167,9
60,R60,2934,101,16
61,R61,3072,292,12
62,R62,2645,37,5
63,R63,2929,40,8
64,R64,3096,144,8
65,R65,2714,180,1
66,R66,3001,23,5
67,R67,2949,263,6
68,R68,2577,63,4
69,R69,3362,355,22
70,R70,2562,111,10
71,R71,2280,304,28
72,R72,2689,15,14
73,R73,2759,50,23
74,R74,2998,310,19
75,R75,3177,118,20
76,R76,2675,108,10
77,R77,2391,29,16
78,R78,3139,66,13
79,R79,2748,46,18
80,R80,3046,43,10
81,R81,2876,66,10
82,R82,3107,293,15
83,R83,3093,64,14
84,R84,2483,288,25
85,R85,3004,180,5
86,R86,3215,303,22
87,R87,2909,355,10
88,R88,3004,58,6
89,R89,3192,74,19
90,R90,3049,122,21
91,R91,3093,107,6
92,R92,2936,318,7
93,R93,3092,95,25
94,R94,3048,303,21
95,R95,3381,0,4
96,R96,3057,41,15
97,R97,3153,111,11
98,R98,2955,352,2
99,R99,2569,22,26
100,R100,2891,270,14
101,R101,3121,50,24
102,R102,3298,37,16
103,R103,3073,336,5
104,R104,2700,348,24
105,R105,2654,20,13
106,R106,3114,199,14
107,R107,2958,72,14
108,R108,3265,207,6
109,R109,2827,312,28
110,R110,3180,215,15
111,R111,2061,242,36
112,R112,2518,353,36
113,R113,3083,9,5
114,R114,3083,320,25
115,R115,3184,76,4
116,R116,3126,337,12
117,R117,3108,259,10
118,R118,2743,31,7
119,R119,2685,149,11
120,R120,2952,304,11
121,R121,2391,261,18
122,R122,3173,141,9
123,R123,2705,50,16
124,R124,3137,213,19
125,R125,2522,28,22
126,R126,3155,181,14
127,R127,2694,84,7
128,R128,2779,69,6
129,R129,2693,136,29
130,R130,3194,279,17
131,R131,3070,213,7
132,R132,3208,20,11
133,R133,3170,19,17
134,R134,3093,85,3
135,R135,3019,45,1
136,R136,3063,347,23
137,R137,2789,67,4
138,R138,3254,220,8
139,R139,2918,321,18
140,R140,3156,29,15
141,R141,3025,68,10
142,R142,3209,67,15
143,R143,2994,49,17
144,R144,3188,234,13
145,R145,2460,121,22
146,R146,3014,90,1
147,R147,3185,288,12
148,R148,3079,102,23
149,R149,3068,257,14
150,R150,3022,18,7
151,R151,3237,316,16
152,R152,2942,341,18
153,R153,3122,90,24
154,R154,2966,58,14
155,R155,2825,181,12
156,R156,3180,323,10
157,R157,2653,202,3
158,R158,2997,177,13
159,R159,3182,250,20
160,R160,2978,104,19
161,R161,3272,21,16
162,R162,3131,230,15
163,R163,2933,328,16
164,R164,3211,24,9
165,R165,2930,97,17
166,R166,2197,305,33
167,R167,2066,310,27
168,R168,3090,302,8
169,R169,3170,138,12
170,R170,2818,102,10
171,R171,3365,102,30
172,R172,2984,105,8
173,R173,3320,95,32
174,R174,3144,335,8
175,R175,2703,337,10
176,R176,3223,338,10
177,R177,2618,11,28
178,R178,2963,14,10
179,R179,3000,180,18
180,R180,3051,272,22
181,R181,2251,350,15
182,R182,3048,92,8
183,R183,3104,336,6
184,R184,2351,329,30
185,R185,2901,188,7
186,R186,3238,20,10
187,R187,3155,261,6
188,R188,2919,75,3
189,R189,2995,84,15
190,R190,3035,21,15
191,R191,3105,262,20
192,R192,2788,14,15
193,R193,3094,227,9
194,R194,2977,72,12
195,R195,3309,120,24
196,R196,2937,77,10
197,R197,2492,85,24
198,R198,3064,72,18
199,R199,2151,261,35
200,R200,2872,99,9
201,R201,2945,151,26
202,R202,3380,50,11
203,R203,3283,281,12
204,R204,2491,344,14
205,R205,2511,67,7
206,R206,2907,104,10
207,R207,3142,298,15
208,R208,2945,138,19
209,R209,2611,60,12
210,R210,2837,33,10
211,R211,3300,287,21
212,R212,3034,98,24
213,R213,2841,42,13
214,R214,3142,259,16
215,R215,3242,43,23
216,R216,3209,186,9
217,R217,3121,180,9
218,R218,3204,297,9
219,R219,3159,0,3
220,R220,3298,68,10
221,R221,3040,67,7
222,R222,2873,53,10
223,R223,3348,300,10
224,R224,2790,34,11
225,R225,3037,45,2
226,R226,3023,177,25
227,R227,3251,279,20
228,R228,3295,331,17
229,R229,3163,211,11
230,R230,3329,176,20
231,R231,2926,90,8
232,R232,2998,166,9
233,R233,2314,318,27
234,R234,3375,177,5
235,R235,3324,14,7
236,R236,3142,27,11
237,R237,2921,260,32
238,R238,3086,126,10
239,R239,2790,62,13
240,R240,3030,167,27
241,R241,3031,250,19
242,R242,3061,312,20
243,R243,3248,204,21
244,R244,2951,77,15
245,R245,2772,71,33
246,R246,3183,17,12
247,R247,3017,194,26
248,R248,2926,130,11
249,R249,2968,114,12
250,R250,2933,1,16
251,R251,2773,80,23
252,R252,2230,28,24
253,R253,3255,18,12
254,R254,3262,240,8
255,R255,3293,295,19
256,R256,3037,315,8
257,R257,3174,248,14
258,R258,3121,264,2
259,R259,3137,317,10
260,R260,2887,58,29
261,R261,2920,145,31
262,R262,2937,87,18
263,R263,3200,262,5
264,R264,3200,324,6
265,R265,2391,348,23
266,R266,3144,21,15
267,R267,2697,4,10
268,R268,3015,265,25
269,R269,3009,314,26
270,R270,2860,104,6
271,R271,2642,119,23
272,R272,2931,45,2
273,R273,3034,27,8
274,R274,3275,94,19
275,R275,2956,54,8
276,R276,2895,213,13
277,R277,2778,50,4
278,R278,2871,45,9
279,R279,3213,96,5
280,R280,3185,346,10
281,R281,2776,306,9
