id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,2801,160,8,30,0,1979,228
2,R2,2772,117,8,124,23,1973,235
3,R3,3100,293,29,120,33,2058,125
4,R4,3052,256,7,256,-4,1657,204
5,R5,2919,59,11,124,16,4664,228
6,R6,2983,242,27,450,140,2821,158
7,R7,2269,318,29,309,108,787,132
8,R8,3209,281,15,511,99,1182,177
9,R9,2893,52,13,175,13,3159,226
10,R10,3205,165,13,534,-1,685,231
11,R11,2302,343,24,258,102,1172,165
12,R12,2883,168,22,201,0,3174,231
13,R13,3103,315,16,376,-2,2590,176
14,R14,2701,48,22,182,59,1681,223
15,R15,3352,86,15,134,3,2764,241
16,R16,2652,76,16,30,0,1350,238
17,R17,2334,300,29,268,4,576,127
18,R18,3128,129,10,295,20,2121,237
19,R19,3172,23,6,513,30,2971,216
20,R20,3240,68,17,30,0,5191,235
21,R21,3129,147,7,60,-10,808,229
22,R22,2845,8,7,297,40,2259,212
23,R23,2929,121,14,30,7,4478,243
24,R24,2988,17,19,618,119,2400,200
25,R25,2978,167,10,182,33,3949,229
26,R26,3041,42,22,384,119,4781,218
27,R27,2936,253,10,446,30,5593,198
28,R28,3007,327,20,127,29,242,169
29,R29,3044,349,13,600,59,4084,195
30,R30,3059,46,15,180,34,4881,223
31,R31,3343,92,23,256,21,2036,248
32,R32,3261,145,10,541,183,474,234
33,R33,2931,286,9,0,0,2903,195
34,R34,2747,41,16,60,12,1385,221
35,R35,3043,336,8,30,4,335,202
36,R36,3057,217,17,283,36,5897,199
37,R37,3278,101,16,85,16,3360,245
38,R38,2997,27,12,108,20,4445,215
39,R39,2999,61,2,85,-5,4452,221
40,R40,3166,61,12,150,3,4845,230
41,R41,3186,90,6,192,8,5488,229
42,R42,3309,350,7,997,193,1621,208
43,R43,3305,333,12,967,91,902,192
44,R44,2824,68,8,0,0,630,228
45,R45,2837,101,4,30,0,3792,226
46,R46,3198,222,7,470,78,6005,212
47,R47,3092,8,12,0,0,845,206
48,R48,2731,55,11,90,1,2301,227
49,R49,2913,89,13,600,159,1524,239
50,R50,2882,142,28,680,105,4248,247
51,R51,3154,308,17,390,30,3768,173
52,R52,3113,302,9,430,53,2224,194
