id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,3227,187,23,216,80,2536,216,249,155,1110
2,R2,2603,353,6,95,5,365,210,230,158,1181
3,R3,3138,120,18,120,-17,4661,248,222,96,1194
4,R4,3199,186,11,210,13,2239,222,248,159,1634
5,R5,3013,83,24,285,87,1581,245,190,61,1337
6,R6,3344,147,40,175,115,3867,238,201,52,3238
7,R7,2805,20,12,90,32,1956,212,215,139,2910
8,R8,2952,104,13,134,26,1452,241,223,110,1398
9,R9,2896,132,14,108,20,3008,242,232,116,1704
10,R10,2960,133,11,255,33,4690,237,235,127,2977
11,R11,2873,62,17,85,25,4154,232,204,99,3390
12,R12,3029,67,6,335,6,2824,227,228,135,1426
13,R13,3409,28,16,641,170,3034,212,204,124,2190
14,R14,2858,151,6,134,46,2538,228,240,145,1964
15,R15,2819,66,8,95,21,1847,228,225,131,1746
16,R16,2951,291,12,212,36,2937,187,238,191,1463
17,R17,2785,134,14,150,40,2936,242,232,117,2021
18,R18,2626,13,14,300,67,524,205,209,139,1026
19,R19,3177,135,19,618,241,1537,246,228,103,2707
20,R20,3008,0,4,0,0,3928,213,232,156,1231
21,R21,1939,42,33,242,89,240,204,148,55,895
22,R22,3422,295,12,600,108,1600,187,237,190,781
23,R23,2641,55,10,330,-1,1146,226,219,126,5708
24,R24,2965,346,18,60,22,3200,182,208,163,2123
25,R25,3153,125,22,234,41,3589,250,219,85,242
26,R26,3340,324,15,95,7,2193,181,223,181,1559
27,R27,2963,40,16,685,127,1565,220,204,114,2823
28,R28,2669,51,19,524,8,741,225,195,96,1353
29,R29,2803,140,11,190,40,1261,236,237,130,1871
30,R30,2843,337,16,162,8,2401,183,216,171,1092
31,R31,2984,83,17,175,17,4700,241,208,91,1801
32,R32,2897,90,20,582,244,598,246,205,80,1672
33,R33,3034,184,15,540,167,5906,223,249,155,4012
34,R34,2991,26,19,175,61,2052,208,195,117,2329
35,R35,3200,22,9,402,65,488,214,220,141,2613
36,R36,3269,343,6,324,24,5799,207,230,162,741
37,R37,2997,208,10,446,107,5356,213,250,171,938
38,R38,2433,60,27,180,74,636,229,173,59,1254
39,R39,3449,7,8,603,110,1650,211,225,151,1365
40,R40,2903,86,10,481,115,1350,234,224,120,1653
41,R41,3242,177,9,350,12,4539,225,245,154,849
42,R42,3174,340,17,60,16,1351,183,214,169,2477
43,R43,2732,16,12,430,-15,1518,210,215,141,2007
44,R44,2341,38,25,240,94,977,210,175,87,872
45,R45,3409,322,8,247,36,2340,200,232,172,2630
46,R46,3083,335,15,0,0,2603,186,219,172,716
47,R47,2696,10,18,60,5,1333,198,202,138,1682
48,R48,2944,299,13,175,33,4267,183,235,192,2379
49,R49,3155,358,5,366,11,5909,211,230,156,990
50,R50,2815,128,16,339,85,3124,245,228,108,2742
51,R51,3248,105,24,268,18,1597,252,202,65,2530
52,R52,3187,180,6,127,12,1739,222,244,156,1598
53,R53,2750,236,2,488,57,1284,216,240,162,1822
54,R54,3192,199,9,551,-14,604,217,248,165,1980
55,R55,3083,143,11,42,0,2672,236,238,130,3500
56,R56,2812,63,10,240,28,2412,229,221,124,1383
57,R57,3256,302,11,420,73,569,190,235,185,182
58,R58,3067,356,20,658,151,4392,184,201,151,4137
59,R59,3045,144,6,60,18,1195,230,239,143,1384
60,R60,2899,94,17,190,42,4272,244,213,93,3393
61,R61,3004,276,7,955,108,5828,200,242,181,5916
62,R62,2921,236,26,600,-15,3690,166,252,214,1421
63,R63,3081,170,10,192,19,3744,227,245,149,642
64,R64,3255,32,9,60,4,3163,218,220,137,2665
65,R65,2506,349,25,85,-20,1195,165,190,157,1727
66,R66,2851,45,11,242,55,1419,223,216,126,2014
67,R67,2952,41,4,0,0,1063,220,230,146,210
68,R68,2927,124,10,300,72,600,238,233,125,999
69,R69,3062,335,11,150,25,4612,195,225,169,977
70,R70,3139,231,12,192,14,2514,201,251,186,484
71,R71,3066,321,20,660,25,1294,164,216,189,870
72,R72,3064,84,5,256,36,3932,227,231,139,2165
73,R73,3051,9,6,85,6,3496,214,228,152,1699
74,R74,2719,343,16,90,40,1114,185,213,166,1958
75,R75,3061,34,5,190,3,5100,219,228,146,2605
76,R76,3261,160,7,67,4,3055,228,242,147,972
77,R77,2958,324,14,85,7,4074,183,224,180,1142
78,R78,2693,40,11,30,4,1839,221,216,129,3885
79,R79,2899,49,20,190,75,4329,223,191,93,1080
80,R80,2933,343,6,551,35,3208,207,230,162,3668
81,R81,2942,238,16,342,46,5824,188,252,199,6283
82,R82,3102,6,2,330,17,1353,216,234,155,1377
83,R83,2826,83,28,242,161,1412,246,178,42,1022
84,R84,3070,127,7,30,-5,806,232,236,136,1672
85,R85,2097,274,21,95,33,534,160,240,217,819
86,R86,3006,1,12,124,18,3300,202,216,151,1883
87,R87,2930,4,24,481,214,3129,181,186,136,1565
88,R88,3168,121,17,201,63,1110,247,223,99,2287
89,R89,2884,180,6,300,35,2947,222,244,156,2644
90,R90,2796,356,7,268,23,2192,209,228,157,1345
91,R91,2423,0,13,323,33,1082,200,215,152,1092
92,R92,2807,61,11,258,16,2802,229,217,120,2445
93,R93,2610,16,19,309,15,1087,201,197,129,1761
94,R94,2968,94,7,170,18,4876,232,229,130,4294
95,R95,2462,275,18,150,60,1401,168,241,211,576
96,R96,2821,100,7,30,3,920,232,231,131,1201
97,R97,2815,314,24,272,105,1154,149,213,201,2460
98,R98,3355,19,9,484,120,3166,214,222,144,3365
99,R99,3062,158,5,626,29,1597,226,241,149,2591
100,R100,2801,48,22,162,41,1442,222,187,89,2595
101,R101,2946,281,6,30,6,1800,203,241,176,433
102,R102,2959,285,17,765,313,1397,171,238,206,2042
103,R103,3028,303,17,67,19,3182,169,229,199,433
104,R104,2883,97,10,362,62,2405,236,226,120,2620
105,R105,3187,39,21,90,28,2239,216,190,101,1581
106,R106,2987,336,3,124,10,1451,213,235,160,1638
107,R107,2936,323,9,108,18,3863,197,231,173,4830
108,R108,3025,36,18,390,54,2490,216,198,112,2624
109,R109,3143,43,12,42,0,3039,222,214,125,3119
110,R110,2723,127,10,272,-2,1068,237,234,126,1317
111,R111,2952,126,13,180,33,4790,242,231,115,5706
112,R112,3169,345,19,532,112,3744,180,207,164,1758
113,R113,2962,57,10,228,23,4731,227,219,125,2652
114,R114,2997,125,18,330,53,2522,247,225,100,2713
115,R115,2844,37,7,277,89,3503,220,224,140,6008
116,R116,3157,264,9,124,22,2602,199,244,185,564
117,R117,3263,82,15,190,34,450,240,212,98,872
118,R118,2778,78,29,212,117,234,242,173,40,1980
119,R119,3319,346,29,150,42,1026,152,180,158,1463
120,R120,2956,217,17,216,24,1024,201,254,185,582
121,R121,2852,313,9,60,11,2698,195,233,178,2073
122,R122,3291,194,8,582,77,834,219,247,162,2736
123,R123,3087,353,25,720,61,942,169,189,151,1448
124,R124,2758,270,21,60,19,2307,159,242,219,511
125,R125,3057,198,5,850,85,5857,218,244,161,3718
126,R126,2850,36,8,285,58,4365,220,222,138,5268
127,R127,2671,49,25,256,107,1110,221,178,78,926
128,R128,3302,164,22,752,186,2673,234,240,125,2520
129,R129,2891,202,18,212,53,993,209,253,173,2335
130,R130,2985,225,3,324,59,5485,215,242,164,3178
131,R131,3159,91,17,258,80,1230,244,211,91,1674
132,R132,2880,21,6,0,0,5123,216,227,148,1195
133,R133,2548,3,10,240,20,484,206,220,152,1350
134,R134,2974,30,10,297,51,1956,217,218,136,865
135,R135,2953,23,12,182,32,2289,213,215,137,2073
136,R136,2265,330,30,124,44,618,137,190,184,1789
137,R137,3304,173,13,1082,136,2466,228,246,148,2021
138,R138,2646,135,9,256,-35,1201,234,237,134,524
139,R139,3403,38,6,618,124,2018,220,227,143,1681
140,R140,3254,350,13,201,65,2731,197,218,159,2574
141,R141,2933,333,8,481,-92,484,202,230,167,994
142,R142,3313,194,16,674,111,2632,216,251,165,1422
143,R143,2975,196,6,492,56,5529,219,245,162,3830
144,R144,2836,42,11,283,78,2550,222,216,128,779
145,R145,2772,27,11,306,105,2760,215,217,137,6617
146,R146,3135,59,11,180,35,2416,228,218,121,1678
