id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,2820,104,36,108,75
2,R2,2709,291,9,60,9
3,R3,3070,124,11,134,33
4,R4,3071,268,8,153,15
5,R5,3067,6,6,127,8
6,R6,3126,315,12,242,38
7,R7,2326,44,24,108,11
8,R8,2926,146,3,541,17
9,R9,3269,25,12,810,66
10,R10,3223,305,16,300,80
11,R11,2975,198,2,182,2
12,R12,2803,352,13,67,18
13,R13,3150,241,9,234,6
14,R14,2624,101,7,395,60
15,R15,2968,137,11,108,16
16,R16,2773,336,22,247,-2
17,R17,2812,111,6,0,0
18,R18,2808,139,20,120,59
19,R19,3077,33,16,212,13
20,R20,2713,41,9,90,2
21,R21,3076,58,16,180,29
22,R22,2700,36,17,67,14
23,R23,2981,113,2,437,60
24,R24,3153,131,9,218,45
25,R25,2975,294,15,300,148
26,R26,3006,351,12,319,48
27,R27,2888,177,9,458,55
28,R28,3031,109,9,350,161
29,R29,3030,326,7,0,0
30,R30,3237,343,13,255,69
31,R31,3019,84,13,150,12
32,R32,2976,2,8,319,61
33,R33,2701,359,10,201,21
34,R34,2869,83,10,0,0
35,R35,3324,348,19,541,121
36,R36,2303,289,21,60,20
37,R37,2922,91,23,240,148
38,R38,2625,155,16,201,58
39,R39,2744,173,8,210,31
40,R40,2964,139,17,757,85
41,R41,2924,53,18,218,80
42,R42,3020,9,18,466,53
43,R43,2642,221,11,67,-4
44,R44,2575,59,6,488,21
45,R45,2981,90,2,210,6
46,R46,2740,81,10,488,-15
47,R47,3014,24,8,360,29
48,R48,2715,256,2,457,27
49,R49,2460,301,18,60,24
50,R50,2503,279,12,60,9
51,R51,2933,90,3,60,0
52,R52,2810,40,15,30,-1
53,R53,2403,273,18,150,50
54,R54,2777,45,7,256,23
55,R55,2679,64,20,212,27
56,R56,3242,140,4,306,27
57,R57,3008,43,8,170,17
58,R58,3220,30,13,0,0
59,R59,2822,6,12,0,0
60,R60,3007,16,10,247,20
61,R61,3056,270,26,272,130
62,R62,3021,17,13,95,20
63,R63,3256,150,20,384,81
64,R64,2864,88,17,330,102
65,R65,2827,351,12,426,72
66,R66,3188,67,13,604,45
67,R67,3187,266,24,342,90
68,R68,3152,117,13,0,0
69,R69,2611,24,14,42,-3
70,R70,3024,88,16,153,2
71,R71,2612,333,7,0,0
72,R72,3179,129,3,30,0
73,R73,2306,8,19,124,14
74,R74,3068,326,3,234,12
75,R75,3306,287,10,153,23
76,R76,2752,338,31,95,20
77,R77,3339,81,6,446,78
78,R78,2881,152,24,30,-7
79,R79,3229,46,14,722,119
80,R80,3281,352,2,541,11
81,R81,3228,15,10,691,111
82,R82,2536,6,17,30,7
83,R83,3205,74,11,570,100
84,R84,2540,90,2,67,0
85,R85,2957,180,2,382,44
86,R86,3258,62,25,134,-9
87,R87,3081,82,14,108,23
88,R88,3123,103,26,228,68
89,R89,2561,68,26,551,160
90,R90,2729,31,21,268,105
91,R91,2929,353,23,301,93
92,R92,3172,102,13,335,56
93,R93,3419,115,22,957,209
94,R94,2051,132,29,30,14
95,R95,2474,287,6,192,39
96,R96,3141,157,12,571,104
97,R97,2972,100,12,331,46
98,R98,3033,153,1,384,63
99,R99,3100,224,16,277,48
100,R100,3079,331,5,480,36
101,R101,2656,58,28,170,50
102,R102,2890,294,14,301,46
103,R103,1925,24,20,212,74
104,R104,2870,104,30,300,198
105,R105,2929,291,15,67,21
106,R106,2671,135,18,175,36
107,R107,2795,96,11,42,-3
108,R108,3189,36,14,216,-9
109,R109,2768,348,11,272,13
110,R110,3255,224,16,573,164
111,R111,2402,33,13,85,-1
112,R112,2303,24,24,216,1
113,R113,2892,90,16,331,220
114,R114,2994,281,14,30,10
115,R115,3149,70,17,192,60
116,R116,2778,159,8,180,-7
117,R117,2906,360,26,297,57
118,R118,2621,40,7,192,9
119,R119,3277,293,6,558,78
120,R120,2912,248,16,42,11
121,R121,2820,119,12,350,49
122,R122,3131,344,14,511,85
123,R123,2792,172,10,150,8
124,R124,3068,294,8,339,55
125,R125,3149,98,11,0,0
126,R126,2696,152,14,443,-26
127,R127,2610,198,26,153,6
128,R128,2998,0,9,458,79
