id,label,Elevation,Aspect,Slope
1,R1,3078,221,26
2,R2,3774,308,34
3,R3,3394,341,9
4,R4,3689,234,11
5,R5,3698,234,3
6,R6,3829,8,34
7,R7,3647,147,26
8,R8,3851,288,29
9,R9,2701,106,30
10,R10,2342,166,41
11,R11,1965,85,3
12,R12,2315,156,13
13,R13,3287,162,7
14,R14,2174,168,10
15,R15,3204,151,42
16,R16,2404,215,35
17,R17,2866,6,19
18,R18,2184,198,37
19,R19,2396,147,5
20,R20,3237,75,12
21,R21,1875,225,16
22,R22,2123,314,37
23,R23,3141,36,13
24,R24,1928,206,43
25,R25,2605,308,29
26,R26,2416,12,29
27,R27,3811,313,22
28,R28,3775,241,25
29,R29,3246,335,2
30,R30,3772,34,7
31,R31,3407,6,11
32,R32,2201,36,3
33,R33,2491,247,29
34,R34,2504,79,28
35,R35,2911,34,11
36,R36,2246,306,20
37,R37,2685,32,11
38,R38,3193,144,31
39,R39,1903,216,20
40,R40,2396,201,15
41,R41,1872,83,27
42,R42,3438,306,12
43,R43,2168,71,11
44,R44,2292,132,16
45,R45,3419,254,23
46,R46,2822,81,5
47,R47,3131,299,4
48,R48,2066,228,6
49,R49,1947,108,38
50,R50,3736,90,2
51,R51,3669,240,31
52,R52,2435,227,7
53,R53,2213,141,0
54,R54,3426,46,18
55,R55,3506,322,22
56,R56,2569,243,25
57,R57,1862,282,3
58,R58,2176,143,33
59,R59,3134,234,40
60,R60,3150,297,36
61,R61,2399,85,35
62,R62,3583,63,28
63,R63,3068,118,19
64,R64,3167,151,2
65,R65,1989,42,29
66,R66,3335,36,38
67,R67,3065,114,33
68,R68,1960,195,20
69,R69,3195,169,40
70,R70,3052,22,34
71,R71,2064,351,6
72,R72,3804,66,17
73,R73,2197,357,8
74,R74,3731,169,18
75,R75,2726,301,38
76,R76,2263,181,22
77,R77,3239,346,29
78,R78,3852,155,5
79,R79,3384,310,1
80,R80,3001,40,23
81,R81,3501,157,25
82,R82,2745,39,12
83,R83,2932,222,14
84,R84,2798,171,17
85,R85,3012,348,29
86,R86,1883,195,16
87,R87,2607,86,26
88,R88,2095,355,3
89,R89,2329,95,6
90,R90,3437,326,37
91,R91,3768,160,1
92,R92,2201,219,41
93,R93,3534,284,22
94,R94,2398,176,26
95,R95,3124,267,36
96,R96,2330,337,25
97,R97,2509,40,30
98,R98,2312,9,22
99,R99,2304,77,28
100,R100,3340,82,9
101,R101,3220,338,37
102,R102,2544,150,40
103,R103,2374,30,6
104,R104,2581,280,39
105,R105,2374,92,24
106,R106,3468,3,12
107,R107,3536,158,38
108,R108,2228,77,41
109,R109,2712,298,6
110,R110,2262,116,40
111,R111,3102,231,38
112,R112,2001,148,34
113,R113,2847,311,10
114,R114,3426,0,25
115,R115,2798,126,30
116,R116,3245,342,4
117,R117,3789,245,31
118,R118,1872,171,14
119,R119,3755,327,6
120,R120,2208,73,27
121,R121,2464,227,22
122,R122,3425,151,1
123,R123,2460,5,18
124,R124,2965,272,42
125,R125,3351,287,22
126,R126,2692,151,11
127,R127,2844,118,33
128,R128,3568,149,31
129,R129,2855,73,37
130,R130,2367,333,42
131,R131,2620,304,35
132,R132,3541,12,28
133,R133,2569,93,38
134,R134,3253,151,13
135,R135,3582,11,5
136,R136,3787,13,22
137,R137,3842,288,34
138,R138,1915,99,39
139,R139,3479,66,40
140,R140,3285,352,5
141,R141,2453,252,43
142,R142,2522,142,23
143,R143,1989,235,10
144,R144,2248,42,1
145,R145,1914,38,37
146,R146,2380,291,31
147,R147,2338,10,8
148,R148,2052,11,22
149,R149,3778,176,36
150,R150,3658,226,33
151,R151,3563,147,41
152,R152,2439,107,23
153,R153,3582,350,36
154,R154,2260,26,1
155,R155,2599,253,4
156,R156,2085,317,28
157,R157,2966,319,19
158,R158,2593,69,19
159,R159,2910,124,12
160,R160,3064,88,39
161,R161,3400,350,20
162,R162,2407,206,2
163,R163,1874,149,18
164,R164,3206,8,34
165,R165,2174,357,6
166,R166,2302,137,7
167,R167,2836,332,21
168,R168,2756,161,23
169,R169,3112,151,29
170,R170,2336,220,42
171,R171,3672,316,34
172,R172,2381,283,4
173,R173,2543,357,33
174,R174,2842,85,14
175,R175,2089,14,8
176,R176,2738,210,25
177,R177,2301,108,33
178,R178,2293,102,13
179,R179,2282,21,14
180,R180,3315,26,8
181,R181,2608,218,1
182,R182,3125,133,8
183,R183,2509,314,2
184,R184,3062,39,39
185,R185,3767,226,30
186,R186,3441,68,3
187,R187,3685,348,9
188,R188,3114,88,14
189,R189,2362,276,42
190,R190,3707,38,19
191,R191,2076,184,33
192,R192,2219,64,35
193,R193,2475,136,36
194,R194,2168,74,12
195,R195,3515,245,36
196,R196,2547,230,29
197,R197,2081,58,15
198,R198,3306,237,1
199,R199,2774,319,4
200,R200,3385,16,20
201,R201,1935,329,24
202,R202,3794,31,20
203,R203,3767,78,38
204,R204,1924,274,24
205,R205,1975,311,15
206,R206,3126,43,17
207,R207,2452,260,16
208,R208,3725,59,25
209,R209,1946,136,14
210,R210,2284,350,32
211,R211,2817,226,21
212,R212,2314,222,26
213,R213,2009,303,35
214,R214,3639,48,33
215,R215,2288,224,39
216,R216,2414,39,22
217,R217,2976,4,32
218,R218,2518,57,0
219,R219,3776,284,26
220,R220,1921,298,29
221,R221,3010,225,12
222,R222,2002,100,33
223,R223,2774,62,37
224,R224,2239,32,3
225,R225,3733,80,31
226,R226,3498,247,37
227,R227,1872,350,33
228,R228,3472,29,40
229,R229,3162,161,35
230,R230,2971,44,12
231,R231,2064,44,37
232,R232,2383,271,15
233,R233,2660,223,10
234,R234,3718,223,20
235,R235,2335,255,34
236,R236,3372,15,38
237,R237,2460,355,13
238,R238,2033,104,37
239,R239,3690,70,6
240,R240,3487,180,28
241,R241,2976,38,13
242,R242,2745,298,37
243,R243,3592,98,0
244,R244,3355,204,40
245,R245,2860,313,32
246,R246,3452,53,9
247,R247,3634,259,21
248,R248,1914,344,1
249,R249,3100,324,29
250,R250,2947,299,34
251,R251,1922,345,24
252,R252,3721,152,31
253,R253,3597,148,39
254,R254,2180,201,31
255,R255,3517,106,14
256,R256,3702,24,15
257,R257,2082,140,7
258,R258,2378,171,2
259,R259,3133,263,22
260,R260,1863,75,26
261,R261,2961,9,31
262,R262,2877,157,42
