id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,R1,1,17,67,4,38,54,18
2,R2,91,85,44,61,55,83,17
3,R3,1,24,60,40,8,16,81
4,R4,45,83,47,17,97,6,93
5,R5,68,29,95,70,62,49,39
6,R6,22,50,13,90,80,32,66
7,R7,70,41,21,77,14,85,37
8,R8,6,50,27,83,68,78,80
9,R9,57,98,64,58,51,39,93
10,R10,39,92,99,85,25,24,47
11,R11,4,22,65,10,69,81,58
12,R12,77,73,98,59,95,37,8
13,R13,58,22,23,47,23,50,67
14,R14,93,75,29,45,4,48,42
15,R15,98,92,56,29,26,54,67
16,R16,3,79,34,49,100,74,57
17,R17,23,54,94,84,7,47,94
18,R18,85,11,62,66,92,97,19
19,R19,52,14,97,92,27,74,20
20,R20,74,43,36,26,80,69,22
21,R21,17,96,73,5,85,13,3
22,R22,2,20,96,11,13,38,80
23,R23,71,75,92,90,81,38,58
24,R24,99,78,94,86,49,36,40
25,R25,22,9,98,39,38,22,39
26,R26,72,68,24,53,83,88,51
27,R27,50,59,88,56,43,41,15
28,R28,93,27,95,82,27,56,66
29,R29,31,78,39,53,66,96,57
30,R30,43,57,33,88,89,98,70
31,R31,64,60,16,49,3,48,2
32,R32,35,76,91,74,63,80,54
33,R33,98,91,67,36,47,38,57
34,R34,60,72,90,21,77,39,36
35,R35,53,21,68,13,72,10,6
36,R36,26,58,72,64,41,49,66
37,R37,37,47,81,83,1,83,84
38,R38,49,22,81,8,34,63,97
39,R39,49,55,61,51,98,20,28
40,R40,16,88,100,72,93,24,20
41,R41,82,65,72,11,81,17,61
42,R42,53,98,47,86,23,49,22
43,R43,32,71,23,77,34,94,78
44,R44,30,89,57,49,14,96,53
45,R45,13,37,24,91,38,39,58
46,R46,79,69,35,41,5,4,42
47,R47,74,5,4,46,64,29,27
48,R48,89,64,58,89,43,100,78
49,R49,56,53,49,36,66,46,19
50,R50,9,18,7,67,81,43,80
51,R51,30,75,42,41,40,83,97
52,R52,82,25,30,66,65,72,8
53,R53,76,67,88,6,46,19,36
54,R54,23,13,2,36,96,96,69
55,R55,95,56,20,20,80,34,67
56,R56,94,1,99,93,75,81,93
57,R57,38,2,52,9,21,8,85
58,R58,55,91,25,53,97,27,28
59,R59,65,22,89,15,80,5,41
60,R60,34,97,95,8,93,97,5
61,R61,40,92,3,64,34,27,25
62,R62,61,98,19,54,83,12,38
63,R63,5,43,28,41,29,95,58
64,R64,50,40,22,12,45,50,25
65,R65,53,60,58,20,63,85,79
66,R66,64,54,73,27,45,7,56
67,R67,62,87,17,73,85,30,20
68,R68,26,23,65,90,52,55,70
69,R69,54,41,65,40,22,13,66
70,R70,39,19,77,47,3,51,31
71,R71,90,24,80,55,56,46,88
72,R72,38,96,75,40,10,37,80
73,R73,81,91,75,31,8,97,69
74,R74,93,17,39,29,90,60,72
75,R75,83,24,39,92,99,91,50
76,R76,21,68,18,30,93,65,70
77,R77,13,69,23,36,56,16,73
78,R78,37,73,50,44,57,71,88
79,R79,47,20,59,78,14,37,50
80,R80,13,36,32,85,43,84,25
81,R81,7,71,56,13,63,37,30
82,R82,80,3,8,22,89,90,100
83,R83,25,40,64,90,52,39,89
84,R84,73,48,19,28,83,87,38
85,R85,67,77,75,38,92,22,87
86,R86,34,40,63,83,21,7,9
87,R87,49,36,73,96,57,48,87
88,R88,46,40,65,53,64,15,52
89,R89,64,73,15,83,55,23,89
90,R90,33,67,4,74,86,68,76
91,R91,40,84,98,58,65,20,99
92,R92,91,70,12,91,90,24,3
93,R93,99,26,20,7,94,9,22
94,R94,36,27,5,36,45,72,22
95,R95,53,63,7,32,98,44,26
96,R96,85,43,53,90,3,25,29
97,R97,59,69,100,58,93,50,19
98,R98,36,93,47,52,18,40,32
99,R99,33,5,50,57,62,66,85
100,R100,30,69,24,87,24,43,48
101,R101,69,62,55,91,41,79,24
102,R102,10,64,35,81,77,63,18
103,R103,19,16,9,5,29,49,98
104,R104,8,99,63,38,34,22,87
105,R105,92,1,85,49,48,16,70
106,R106,14,47,6,50,1,62,87
107,R107,66,90,37,15,93,49,85
108,R108,57,3,26,12,52,2,19
109,R109,98,76,65,69,72,66,95
110,R110,89,95,38,97,15,67,9
111,R111,10,59,41,90,23,20,78
112,R112,21,82,3,72,89,36,20
113,R113,36,3,29,11,11,35,3
114,R114,59,44,56,58,93,53,29
115,R115,37,6,66,41,27,36,6
116,R116,80,18,12,34,66,26,77
117,R117,20,66,86,84,35,41,29
118,R118,32,24,32,32,25,35,36
119,R119,91,49,58,6,67,30,3
120,R120,51,18,52,74,62,12,6
121,R121,17,84,25,31,96,23,61
122,R122,8,77,52,5,17,76,79
123,R123,81,88,69,59,18,66,67
124,R124,4,44,19,2,25,16,12
125,R125,71,84,27,42,6,53,32
126,R126,38,38,97,57,91,100,71
127,R127,36,52,12,24,66,14,5
128,R128,92,30,11,9,8,7,52
129,R129,93,30,82,83,96,13,16
130,R130,63,44,3,28,55,19,30
131,R131,13,46,58,6,38,94,35
132,R132,76,23,72,85,2,49,14
133,R133,17,36,73,14,67,20,80
134,R134,1,86,31,22,80,61,51
135,R135,29,28,94,98,22,56,33
136,R136,39,6,51,28,64,21,36
