id,label,Elevation,Aspect
1,R1,1999,100
2,R2,2481,194
3,R3,3625,67
4,R4,2754,209
5,R5,2180,350
6,R6,3169,296
7,R7,3078,187
8,R8,3403,345
9,R9,3704,262
10,R10,3392,169
11,R11,3051,227
12,R12,2912,192
13,R13,3813,234
14,R14,2586,33
15,R15,2476,234
16,R16,3857,269
17,R17,2071,113
18,R18,3726,251
19,R19,2110,58
20,R20,3683,59
21,R21,2937,64
22,R22,3108,17
23,R23,2890,126
24,R24,2150,24
25,R25,3024,128
26,R26,3388,323
27,R27,3122,23
28,R28,2890,224
29,R29,3645,292
30,R30,2620,312
31,R31,2448,172
32,R32,2756,147
33,R33,3233,53
34,R34,3361,86
35,R35,3575,97
36,R36,2394,288
37,R37,2742,144
38,R38,2039,346
39,R39,2790,233
40,R40,3124,201
41,R41,2908,262
42,R42,3600,246
43,R43,2478,188
44,R44,2877,106
45,R45,2801,9
46,R46,2812,292
47,R47,1944,171
48,R48,2156,335
49,R49,3034,327
50,R50,1981,321
51,R51,2001,136
52,R52,3786,238
53,R53,2969,175
54,R54,1902,241
55,R55,3639,141
56,R56,3196,78
57,R57,2538,313
58,R58,3210,42
59,R59,3732,243
60,R60,3231,102
61,R61,3820,279
62,R62,3485,60
63,R63,2891,80
64,R64,1887,310
65,R65,2159,14
66,R66,2856,291
67,R67,3705,335
68,R68,3846,80
69,R69,1918,336
70,R70,3358,22
71,R71,2500,326
72,R72,2340,317
73,R73,2571,193
74,R74,3617,291
75,R75,3710,155
76,R76,2396,197
77,R77,2824,281
78,R78,2951,333
79,R79,3316,3
80,R80,3591,60
81,R81,1988,231
82,R82,3269,190
83,R83,2424,57
84,R84,2441,331
85,R85,2739,120
86,R86,2478,171
87,R87,3803,163
88,R88,3087,272
89,R89,2321,28
90,R90,3042,98
91,R91,2525,256
92,R92,3503,174
93,R93,2914,188
94,R94,3272,195
95,R95,3181,157
96,R96,3292,329
97,R97,2807,103
98,R98,2834,295
99,R99,2402,310
100,R100,3578,169
101,R101,3317,140
102,R102,3055,206
103,R103,3496,311
104,R104,2289,197
105,R105,3194,0
106,R106,2024,84
107,R107,3506,231
108,R108,2021,359
109,R109,2307,315
110,R110,3561,328
111,R111,3524,305
112,R112,2199,214
113,R113,3137,256
114,R114,2550,220
115,R115,3277,300
116,R116,3662,336
117,R117,3042,284
118,R118,3787,176
119,R119,3707,126
120,R120,1950,76
121,R121,2598,224
122,R122,3212,187
123,R123,2680,265
124,R124,3622,221
125,R125,3327,127
126,R126,2174,76
127,R127,1898,86
128,R128,3137,227
129,R129,1878,313
130,R130,3537,130
131,R131,2385,155
132,R132,2173,299
133,R133,2770,127
134,R134,2139,318
135,R135,2964,232
136,R136,3698,39
137,R137,3578,62
138,R138,2413,69
139,R139,2516,325
140,R140,3809,143
141,R141,2043,247
142,R142,3173,218
143,R143,3804,258
144,R144,2653,223
145,R145,2809,316
146,R146,2228,194
147,R147,1880,114
148,R148,3174,330
