id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,R1,59,30,75,12,90
2,R2,37,88,26,48,30
3,R3,56,44,74,43,55
4,R4,24,13,22,16,48
5,R5,89,73,86,44,26
6,R6,7,100,60,83,46
7,R7,2,48,65,27,82
8,R8,78,2,35,15,39
9,R9,77,62,74,4,59
10,R10,99,48,45,29,40
11,R11,37,3,63,27,37
12,R12,61,32,34,95,49
13,R13,87,86,78,32,71
14,R14,46,20,53,86,34
15,R15,67,26,18,69,25
16,R16,14,75,55,1,92
17,R17,76,51,42,72,5
18,R18,23,6,7,98,84
19,R19,74,22,21,81,91
20,R20,28,17,22,38,69
21,R21,4,42,10,31,54
22,R22,52,3,91,74,67
23,R23,94,44,3,5,9
24,R24,67,18,67,44,15
25,R25,87,68,68,43,7
26,R26,45,21,30,4,47
27,R27,39,57,27,3,46
28,R28,96,14,67,96,10
29,R29,37,97,17,89,60
30,R30,31,3,68,32,91
31,R31,83,95,68,84,10
32,R32,13,24,41,5,16
33,R33,100,50,61,63,17
34,R34,13,31,54,42,89
35,R35,90,56,80,41,43
36,R36,90,89,93,61,20
37,R37,17,65,14,22,35
38,R38,30,86,57,37,10
39,R39,30,99,49,7,16
40,R40,40,14,19,33,2
41,R41,94,12,76,20,55
42,R42,96,97,44,51,78
43,R43,64,16,15,17,26
44,R44,51,100,30,69,53
45,R45,18,7,53,9,20
46,R46,46,63,91,67,85
47,R47,6,8,40,61,35
48,R48,40,59,26,80,32
49,R49,33,2,66,89,35
50,R50,9,75,34,98,65
51,R51,51,38,82,2,64
52,R52,60,62,28,20,53
53,R53,19,35,4,69,11
54,R54,71,61,17,88,84
55,R55,2,73,32,46,38
56,R56,55,26,83,44,92
57,R57,54,61,58,70,81
58,R58,20,94,18,97,95
59,R59,56,11,64,96,51
60,R60,80,11,45,77,83
61,R61,5,35,85,29,100
62,R62,57,27,13,30,73
63,R63,99,85,68,56,90
64,R64,14,66,77,76,51
65,R65,68,56,31,89,2
66,R66,9,78,68,41,36
67,R67,88,42,6,14,25
68,R68,25,58,33,12,26
69,R69,64,39,5,72,41
70,R70,85,78,54,34,78
71,R71,79,88,95,100,48
72,R72,64,5,6,64,81
73,R73,17,72,62,43,15
74,R74,84,63,53,4,28
75,R75,87,84,19,26,86
76,R76,11,11,47,91,83
77,R77,1,74,46,10,42
78,R78,48,13,45,30,55
79,R79,69,82,10,66,90
80,R80,25,52,79,21,70
81,R81,29,78,11,61,89
82,R82,39,74,94,58,49
83,R83,17,76,100,31,41
84,R84,100,76,6,88,43
85,R85,15,63,64,83,73
86,R86,39,39,53,46,54
87,R87,80,36,72,54,96
88,R88,91,62,18,10,80
89,R89,87,52,10,10,26
90,R90,42,77,86,9,100
91,R91,5,7,90,31,43
92,R92,41,68,54,61,27
93,R93,47,58,56,86,97
94,R94,65,96,27,75,41
95,R95,61,83,50,97,14
96,R96,46,20,1,53,59
97,R97,43,57,10,28,92
98,R98,63,36,52,17,27
99,R99,90,95,80,6,42
