id,label,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,R1,3575,160,39,83,341,184,232,147,127,3571
2,R2,3470,333,3,174,148,5099,128,190,174,4405
3,R3,2899,278,24,678,408,2787,117,167,237,1409
4,R4,3393,279,0,944,315,5304,76,247,230,3187
5,R5,2224,84,26,480,62,4681,163,150,65,1757
6,R6,2290,147,12,309,46,5386,153,145,96,253
7,R7,3590,46,26,499,322,988,217,145,70,5385
8,R8,3129,131,4,1004,221,506,145,208,24,2269
9,R9,3297,336,3,347,326,3985,109,239,73,2349
10,R10,2233,348,25,317,17,1373,165,209,7,4608
11,R11,3815,125,38,548,161,2394,119,244,129,3740
12,R12,2754,215,5,321,323,5439,235,232,109,1472
13,R13,2869,141,35,781,64,821,240,129,216,4158
14,R14,2071,82,13,920,-62,2243,213,254,204,1410
15,R15,2407,330,34,224,261,2375,100,239,144,1807
16,R16,3429,203,2,99,61,1026,143,246,66,4808
17,R17,3077,247,7,844,-74,2648,254,250,46,5418
18,R18,3690,245,14,1176,268,5110,159,161,181,5617
19,R19,3775,289,28,1048,70,3213,135,136,180,5854
20,R20,3722,54,21,231,398,4404,124,217,204,3317
21,R21,2476,225,0,1089,83,4627,160,165,133,2548
22,R22,2369,94,16,291,198,124,196,240,197,204
23,R23,2054,359,11,409,212,1685,110,154,89,4107
24,R24,3831,225,39,1066,77,4919,172,226,33,2889
25,R25,2852,317,16,568,-110,625,232,209,32,3836
26,R26,3526,326,0,731,217,4152,254,245,120,2279
27,R27,3478,177,40,201,188,752,128,147,225,2034
28,R28,2752,325,23,164,97,3893,252,233,16,1829
29,R29,3551,292,34,772,102,2176,143,131,176,2321
30,R30,3180,120,8,270,365,1849,187,176,125,1831
31,R31,3550,348,16,857,185,4966,161,240,61,1107
32,R32,2982,130,26,374,208,2368,200,174,8,1902
33,R33,2111,162,4,214,-35,1324,149,173,198,2582
34,R34,2604,281,18,674,236,5346,246,208,174,3818
35,R35,1908,80,15,1033,-32,807,200,233,177,1570
36,R36,3033,11,2,904,63,5072,105,235,26,2480
37,R37,2189,75,22,293,10,2935,233,248,209,3611
38,R38,3334,188,7,186,68,1417,91,239,188,1489
39,R39,2612,177,26,430,148,5452,167,212,141,4694
40,R40,2631,59,42,247,116,4890,246,213,123,3568
41,R41,3018,112,16,1087,146,1387,129,195,141,4321
42,R42,2730,320,15,964,-35,1231,240,138,227,4073
43,R43,3843,50,27,243,359,2928,100,138,37,1571
44,R44,2269,250,22,844,-111,5414,171,241,171,5317
45,R45,3464,195,43,599,100,2518,83,196,199,1078
46,R46,3658,88,42,380,421,4957,237,133,228,2700
47,R47,2471,109,38,1090,333,3670,174,136,105,1404
48,R48,1912,247,17,820,148,2329,236,235,195,172
49,R49,2260,328,13,302,138,1309,227,225,241,1228
50,R50,3095,208,8,25,158,41,179,223,237,1522
51,R51,3134,120,18,287,81,2675,123,126,2,3742
52,R52,3239,350,2,770,363,2919,92,218,67,217
53,R53,2829,214,29,1094,133,2929,101,208,223,5137
54,R54,2870,105,21,246,143,2761,196,253,199,2674
55,R55,2194,296,36,469,162,2456,170,138,16,4863
56,R56,3270,208,0,832,351,3780,208,199,50,1698
57,R57,3476,113,21,1186,147,3071,132,239,168,5487
58,R58,2053,338,19,967,75,420,104,143,182,4126
59,R59,3283,209,35,657,256,1172,227,214,243,3614
60,R60,2285,18,14,990,-11,2757,221,197,155,2060
61,R61,3292,176,7,194,20,3953,98,233,50,118
62,R62,2017,17,42,315,44,506,175,158,125,2460
63,R63,3227,94,37,686,37,4783,222,149,154,4888
64,R64,2745,234,30,475,409,4138,208,208,144,714
65,R65,3243,245,40,1085,48,1411,251,254,3,5026
66,R66,3710,334,37,1193,157,1941,211,131,180,458
67,R67,2572,194,33,980,280,1484,103,233,113,1735
68,R68,3524,154,40,706,198,4974,135,147,229,139
69,R69,2676,61,40,252,376,3034,188,144,8,5862
70,R70,2017,273,29,1040,256,431,204,222,130,5380
71,R71,3739,309,24,575,-24,2585,75,193,160,2129
72,R72,2218,221,18,108,-99,4805,131,254,146,4307
73,R73,3419,344,23,1192,-11,1694,148,187,85,3080
74,R74,2375,182,8,857,83,1484,72,153,62,3241
75,R75,2356,54,41,896,387,1203,111,239,226,4420
76,R76,3525,140,35,1140,380,822,145,249,182,4621
77,R77,2179,199,0,156,62,5257,171,209,25,5235
78,R78,3004,66,21,106,-103,135,78,145,22,332
79,R79,2500,103,29,1146,1,424,209,148,147,5570
80,R80,2081,185,7,341,64,783,204,236,31,1568
81,R81,3335,208,12,183,-36,2174,182,167,46,3396
82,R82,2962,83,14,249,419,833,225,155,36,967
83,R83,3555,30,4,55,346,626,210,202,216,3676
84,R84,2067,240,0,1149,-48,4973,126,200,70,1373
85,R85,3248,323,36,130,345,695,162,135,94,4329
86,R86,2539,239,38,1124,409,3050,118,196,106,4034
87,R87,2700,180,35,18,67,118,105,218,204,5858
88,R88,2609,342,4,860,66,3121,181,237,25,4859
89,R89,2178,151,9,42,104,3039,110,138,37,611
90,R90,2432,162,28,657,-13,5243,207,214,167,5233
91,R91,2300,272,19,276,-90,1375,92,130,181,4697
92,R92,3289,147,39,207,403,446,72,219,181,1653
93,R93,3758,47,22,380,220,4434,246,204,76,1194
94,R94,3156,177,31,1185,398,5035,121,212,146,5177
95,R95,3420,126,39,281,341,430,132,139,114,3113
96,R96,3614,174,37,1107,315,838,183,240,243,4930
97,R97,2070,333,34,495,126,2766,108,196,92,1536
98,R98,3519,17,4,14,-57,2572,119,153,218,3226
99,R99,3658,78,36,744,84,1566,142,172,179,2192
100,R100,3196,4,42,443,57,2742,109,138,98,726
101,R101,2225,220,33,438,408,2980,71,221,20,2588
102,R102,2120,306,10,126,195,3235,200,136,113,1342
103,R103,3752,134,11,901,303,4500,173,136,76,712
104,R104,1947,252,13,228,63,2061,253,194,128,932
105,R105,3551,276,12,456,-63,3653,229,146,49,5062
106,R106,3086,84,42,252,9,2648,191,229,148,3729
107,R107,2843,2,10,289,63,4699,200,203,177,2480
108,R108,3293,77,38,347,83,1615,178,248,100,1796
109,R109,3120,204,30,989,278,3248,170,232,185,3904
110,R110,3250,165,3,153,-29,4510,113,244,14,2069
111,R111,2586,182,20,671,-69,1715,193,150,49,4033
112,R112,3128,181,29,1037,196,3776,90,221,42,2269
113,R113,2649,353,16,195,-25,4835,155,149,121,486
114,R114,3213,321,43,719,-25,4943,109,165,205,134
115,R115,2659,186,24,812,14,3869,106,231,47,4912
116,R116,3434,317,6,437,10,277,126,211,110,5258
117,R117,3085,59,6,750,149,2079,113,125,56,5647
118,R118,3712,153,16,215,143,3572,114,231,93,5136
119,R119,3253,337,42,401,141,440,165,168,56,1848
120,R120,2384,184,5,524,328,1888,238,204,217,3722
121,R121,3600,351,7,600,272,2654,95,252,105,1449
122,R122,3579,119,24,747,32,3970,182,149,181,2093
123,R123,3611,159,3,698,383,1579,243,143,22,3409
124,R124,2029,43,7,45,-50,5133,70,129,214,255
125,R125,3853,129,21,183,217,3321,218,218,73,587
126,R126,3275,300,21,491,61,3645,211,233,195,2073
127,R127,3304,17,37,937,105,656,233,202,186,2548
128,R128,1982,116,10,685,3,60,103,139,111,4688
129,R129,3167,5,23,886,231,4201,240,210,18,4879
130,R130,3305,91,10,260,110,5425,159,170,223,2015
131,R131,2371,287,40,362,216,4572,80,148,160,3741
132,R132,3772,125,29,531,-79,968,119,200,184,2784
133,R133,3644,235,10,361,-5,3375,191,140,232,1421
134,R134,2248,56,19,438,-41,3529,198,158,48,1677
135,R135,3114,55,16,1107,18,616,136,125,238,1099
136,R136,3233,87,17,1196,141,51,223,216,135,873
137,R137,2480,20,36,759,-10,5041,182,249,41,799
138,R138,3390,343,35,191,7,5378,218,223,99,502
139,R139,3198,186,9,1055,275,268,224,225,65,884
